id,input_amounts
0,"['0.00329400', '0.00329000']"
1,['0.00329000']
2,"['0.00014860', '0.00794500']"
3,"['0.00479494', '0.00318471']"
4,"['0.00329400', '0.00329400']"
5,['0.00940000']
6,['0.00328547']
7,['0.00329400']
8,['0.00288217']
9,"['0.00500000', '0.00014860', '0.00187915', '0.00067174']"
10,['0.00118875']
11,"['0.00104243', '0.00329600']"
12,['0.00122628']
13,['0.00331400']
14,['0.00110934']
15,"['0.02500000', '0.00109000']"
16,"['0.00010863', '0.00099707', '0.00103200', '0.00010000']"
17,"['0.00000100', '0.00100000', '0.00331400']"
18,"['0.00050000', '0.00100000', '0.00120622', '0.00620062', '0.00483000']"
19,['0.00346821']
20,['0.00217376']
21,['0.00236536']
22,"['0.00090000', '0.00387440', '0.00000200', '0.00126297']"
23,['0.01000000']
24,"['0.00056976', '0.00390000', '0.00707130']"
25,"['0.00127139', '0.00393412', '0.00130994']"
26,['0.00666631']
27,['0.00727946']
28,['0.00980000']
29,['0.00678533']
30,['0.00465783']
31,['0.00389065']
32,['0.01000000']
33,['0.00668420']
34,['3.00000000']
35,['0.00100000']
36,['0.01569000']
37,['0.01570000']
38,['2.99664287']
39,['4.00000000']
40,['0.01300000']
41,"['0.00131464', '2.99329838']"
42,['0.00330512']
43,['0.00382568']
44,['0.01265924']
45,['0.00300000']
46,['0.01010000']
47,['0.01000000']
48,"['0.00054788', '0.00020000']"
49,"['0.00011000', '0.00130123', '0.00192885', '0.00058861']"
50,"['0.00067128', '0.00300000', '0.00034660', '0.00317303']"
51,['0.01235351']
52,['0.00566623']
53,['1.00000000']
54,"['0.00383015', '0.00067194', '0.00233011']"
55,['0.00987828']
56,['0.00758393']
57,['0.99666047']
58,['5.00000000']
59,"['0.00052688', '0.00654555']"
60,"['0.00348142', '0.00405258']"
61,"['2.00000000', '0.00076900']"
62,"['0.00418855', '0.00457276']"
63,['0.00542892']
64,['0.00911450']
65,['0.00975537']
66,"['0.00209708', '1.99743567']"
67,['0.00578200']
68,['0.00642745']
69,"['0.00309738', '0.00244472']"
70,['0.02206836']
71,['0.01905115']
72,['0.01582110']
73,['0.01379825']
74,['0.01057512']
75,['3.99665495']
76,['0.00722854']
77,['0.03535793']
78,['0.03201147']
79,['0.02865383']
80,"['0.00219813', '0.00380917']"
81,['0.02530116']
82,['0.01595553']
83,['0.01258590']
84,['0.00910000']
85,['0.99331006']
86,['0.99028665']
87,['3.99333182']
88,['1.99620417']
89,['0.00574623']
90,['0.00921606']
91,['3.99158740']
92,['0.00239395']
93,['1.99353259']
94,['0.00265063']
95,['0.00587033']
96,['0.00384974']
97,['0.00300000']
98,['0.01714000']
99,['4.99665356']
100,['0.96978596']
101,['3.97656498']
102,['0.01780000']
103,['0.00480000']
104,['0.00300000']
105,['0.00500000']
106,['0.00480000']
107,"['0.00137533', '0.00171142']"
108,['0.00197264']
109,"['0.00100000', '0.00120000', '0.00100000', '0.00107722', '0.00006080', '0.00062919']"
110,['0.00370000']
111,['0.00200000']
112,"['0.00010000', '0.00211504', '0.00100000', '0.00094931']"
113,"['0.00200000', '0.00198701']"
114,"['0.00177123', '0.00080000', '0.00087643', '0.00100000', '0.00095134']"
115,"['0.00040000', '0.00120000']"
116,"['0.00480000', '0.00258561']"
117,['0.00086785']
118,"['0.00116387', '0.00100000', '0.00196460', '0.00148011']"
119,['0.01109159']
120,"['0.00364541', '0.00100000', '0.00464370']"
121,"['0.00090000', '0.00091371', '0.00323703']"
122,['0.01000000']
123,"['0.00300000', '0.00454585', '0.00100000']"
124,['0.03000000']
125,['0.01490000']
126,"['0.00800000', '0.00806691']"
127,['0.00490000']
128,['0.01578138']
129,"['0.00300000', '0.00025639']"
130,"['0.00444318', '0.00169500']"
131,['4.99462000']
132,"['0.00008000', '0.00270000', '0.00360000']"
133,"['0.00090000', '0.00163049', '0.00290000', '0.00006000', '0.00072640', '0.00100000', '0.00100000', '0.00183225', '0.00100000']"
134,['0.02197151']
135,"['0.00790000', '0.00213902']"
136,['2.99126722']
137,['0.01919666']
138,['0.00592000']
139,['0.00500000']
140,"['0.00900000', '0.00069882', '0.00341677']"
141,['0.00500000']
142,['0.01440650']
143,['4.98849447']
144,['0.01000000']
145,"['0.00280000', '0.00300000', '0.00049540', '0.00300000']"
146,['0.00486348']
147,"['0.00100000', '0.00070000']"
148,['0.01236011']
149,['0.01450000']
150,"['0.00788068', '0.00180000', '0.00010000']"
151,['4.98802605']
152,['0.00416994']
153,"['1.98350721', '0.00500000', '0.00290000']"
154,"['0.00180338', '0.00226500', '0.00600000']"
155,['0.00880000']
156,"['0.00334966', '0.00500000', '4.92898346']"
157,['0.01000000']
158,['0.06000000']
159,"['0.01680000', '0.01714759', '0.05911821', '0.00659947', '0.00040000']"
160,"['0.05000000', '0.00640268', '0.00656748', '0.03500000', '0.00211692']"
161,"['0.02959206', '0.00100824', '0.00084400', '0.05900000', '0.00963986']"
162,['0.00969612']
163,"['0.00293387', '0.00110000']"
164,"['0.00038000', '0.00465317']"
165,"['0.00228044', '0.00466636']"
166,"['0.00058103', '3.97196420']"
167,['0.01000000']
168,"['0.00090000', '0.03300000']"
169,['0.00800000']
170,['0.09980000']
171,['0.00700000']
172,['0.00200000']
173,['0.00880000']
174,['0.01000000']
175,['0.08974447']
176,"['0.00696982', '0.00860000']"
177,"['0.00560504', '0.00494247']"
178,['0.05000000']
179,['0.00531636']
180,['0.00800000']
181,['0.02000000']
182,"['0.00263338', '0.07949032']"
183,['1.94131143']
184,['0.03933503']
185,['0.00427560']
186,['0.00390000']
187,"['0.00200000', '0.00404796', '0.00500000']"
188,['4.81627681']
189,"['0.00040000', '0.00498139', '0.00556404', '0.00021000']"
190,['0.00500000']
191,['4.80214579']
192,"['0.00696517', '0.00017000', '0.00500000']"
193,['0.02819851']
194,['0.07024500']
195,['0.03000000']
196,['0.09990000']
197,['0.05000000']
198,['0.01000000']
199,"['0.00900000', '0.01000000']"
200,['0.00965854']
201,['0.00763160']
202,"['0.00014000', '0.00010000']"
203,"['0.00286728', '0.02385798', '0.00100000']"
204,['0.01717778']
205,"['0.00297659', '0.00250000', '0.00766841']"
206,['0.01990000']
207,['0.02471042']
208,"['0.00006080', '0.00200000', '0.00028000', '0.00170000']"
209,['4.80002351']
210,['0.00099000']
211,"['0.00075460', '0.06822032']"
212,"['0.00400000', '0.00050000', '0.00290000', '0.00090000', '0.08434427', '0.00010000', '0.00097600', '0.00005460', '0.00097318', '0.00229870', '0.00090000', '0.00100000', '0.00044827', '0.00070112']"
213,"['0.01090000', '0.00180000', '0.00980000', '0.00871078']"
214,['0.00090000']
215,['4.79900278']
216,['3.97181607']
217,"['0.02400000', '0.01616100', '0.05000000', '0.00990000']"
218,['2.98124071']
219,['0.02887687']
220,['0.01950000']
221,"['0.00100000', '0.00318000', '0.04897856', '0.07127045']"
222,"['0.06000000', '0.00180000']"
223,['0.00969500']
224,['0.06000000']
225,"['0.01944692', '1.93097660']"
226,"['0.00324799', '0.05000000', '0.07000000', '0.00191601']"
227,"['0.01000000', '0.01068659']"
228,['2.95110251']
229,['0.01940000']
230,['0.02700000']
231,['0.01000000']
232,['0.01670683']
233,"['0.00161670', '1.80033012']"
234,['1.69105866']
235,['0.01930000']
236,['0.00170883']
237,['0.00090000']
238,['0.00114700']
239,['0.01000000']
240,['0.01930000']
241,['0.02900000']
242,"['0.02310000', '0.00790683']"
243,['0.01924078']
244,"['0.00020000', '0.09743739', '0.00072800', '0.00196900']"
245,"['0.00039116', '0.01030000']"
246,"['0.01647359', '0.04000000', '0.02905660', '0.01500000']"
247,['0.96775183']
248,"['1.00000000', '0.01558932']"
249,"['0.05062675', '0.00908513', '0.00020000', '0.01942388', '0.02459403']"
250,['0.01000000']
251,"['0.00019558', '0.20000000']"
252,"['0.01000000', '2.94491075']"
253,"['0.10000000', '0.00020000']"
254,['4.72396978']
255,"['0.03000000', '0.02778432', '0.03000000', '0.01200000', '0.01570000', '0.05500000', '0.03000000']"
256,['0.96712422']
257,"['0.02863372', '0.00193800', '0.00110000', '0.01940000']"
258,['0.00980000']
259,['0.00175054']
260,['0.00900000']
261,['0.00989938']
262,['0.00637176']
263,['0.00290000']
264,"['1.66486388', '0.00013629']"
265,['0.02662516']
266,['0.01000000']
267,['0.00096700']
268,['0.01000000']
269,['0.01000000']
270,['0.00969410']
271,['0.01622776']
272,['0.00600000']
273,['0.00392156']
274,['0.20000000']
275,['0.00911401']
276,['0.00090000']
277,['0.00284838']
278,['0.02000000']
279,['0.01000000']
280,['0.01000000']
281,"['0.00040856', '0.00574148']"
282,['0.00922400']
283,['0.00090000']
284,['0.00804238']
285,['0.00500000']
286,['2.90168819']
287,['0.19892837']
288,"['0.00006448', '0.00986679', '0.00080000', '0.05000000']"
289,"['0.00128254', '0.00013227']"
290,['0.00700000']
291,"['0.02000000', '0.00006000']"
292,['0.03000000']
293,['0.01055950']
294,['0.04000000']
295,['0.00972823']
296,['0.01000000']
297,['0.00062837']
298,['0.00390000']
299,"['0.00900000', '0.00100000', '0.00214654']"
300,['0.00083132']
301,"['0.00605515', '0.01527508', '0.00872668']"
302,['0.10000000']
303,"['0.00010000', '1.66432690']"
304,['0.00895600']
305,['0.01119474']
306,['0.00178249']
307,"['0.01009353', '0.00006504']"
308,"['0.00010000', '0.00020000']"
309,"['0.00224987', '0.00080000']"
310,['0.10000000']
311,"['0.00005460', '0.00198467']"
312,"['0.00011000', '0.00011752']"
313,['0.01895600']
314,['0.00052000']
315,"['0.00040000', '0.00063783']"
316,"['0.00124100', '0.00880000']"
317,"['0.05000000', '0.00040900', '0.00063540']"
318,"['0.02000000', '0.03952275', '0.00128807', '0.00008830', '0.00014800']"
319,"['0.00942295', '0.00060000']"
320,"['0.00108100', '0.00294160', '0.00011808']"
321,"['0.00070000', '0.00072989']"
322,"['0.00070000', '0.00342500']"
323,"['0.00011522', '0.00005460', '0.00010000', '0.00006184', '0.00001500']"
324,"['0.00063000', '0.00150000', '0.00990000']"
325,"['0.00040000', '0.00005460', '0.00070000', '0.00138286']"
326,"['0.02875234', '0.00500000', '0.00127802']"
327,"['0.00198637', '0.14700997', '0.04501000', '0.00604341']"
328,"['0.00510000', '0.00494627']"
329,"['0.00130000', '0.00002000', '0.01873611', '0.03000000']"
330,"['0.00414937', '0.00062652']"
331,"['0.20000000', '0.07996362', '0.00060110', '0.01900000', '0.00049400']"
332,['0.00200000']
333,['0.01001500']
334,"['0.00005480', '0.02747658', '0.00190000', '0.00060426']"
335,"['0.00360000', '0.08995558', '0.00005666', '0.00841560', '0.00025000']"
336,"['0.00022810', '0.00030000', '0.00050000']"
337,['0.00200000']
338,"['0.00393405', '0.00148124', '0.00010000', '0.00202400']"
339,['0.00285600']
340,"['0.00200000', '0.00193964', '0.01000000', '0.00110000']"
341,"['0.00020000', '0.00939424', '0.01495000', '0.00050000']"
342,['0.01000000']
343,"['0.00450000', '0.02073312', '0.00980000']"
344,"['1.64160858', '0.01950000', '0.00906351', '0.00222825', '1.00000000', '4.62381891', '0.20000000', '0.00390000']"
345,['0.01149000']
346,['0.00776636']
347,"['0.00137885', '0.00468339']"
348,"['0.00001000', '0.00400000', '0.00011821']"
349,"['0.00001437', '0.00030000', '0.00392695']"
350,"['0.01234140', '0.00237000', '0.00492442', '0.00050000']"
351,"['0.00824903', '0.00110000', '0.00569064', '0.06000000']"
352,"['0.00020000', '0.00173638', '0.00935000', '0.00010000']"
