id,input_amounts
0,['0.00794500']
1,['0.00329000']
2,['0.00483000']
3,"['0.00153284', '0.00483429']"
4,"['0.00329400', '0.00331400']"
5,"['0.00226188', '0.00331400', '0.00014860', '0.00014860']"
6,['0.00266597']
7,['0.00500000']
8,['0.00226267']
9,"['0.00125965', '0.00237774', '0.00329600', '0.00940000']"
10,['0.00318471']
11,"['0.00303839', '0.00329000']"
12,['0.00321624']
13,"['3.00000000', '0.00010000']"
14,['0.00309930']
15,['0.00982265']
16,"['0.00103200', '0.00109000']"
17,"['0.00050000', '0.00390000', '0.00000100', '0.00110296']"
18,"['0.00100000', '0.00580798', '0.00249766']"
19,"['0.00010863', '0.00100000']"
20,['0.00264258']
21,['0.00298703']
22,"['0.00056976', '0.00000200', '0.00329400']"
23,"['0.00174021', '0.00176293', '0.00090000']"
24,"['0.00188464', '0.00329400', '0.00329400']"
25,"['0.00421104', '0.00330547']"
26,['0.00980000']
27,['0.01000000']
28,['0.01570000']
29,['0.00417715']
30,['2.99895585']
31,['0.00661119']
32,['2.99561266']
33,['0.00779152']
34,['0.00441244']
35,['0.00100000']
36,['0.01000000']
37,['0.01569000']
38,['0.01300000']
39,['0.00965551']
40,['2.00000000']
41,"['0.00121750', '0.01268533']"
42,['1.99675537']
43,['0.01000000']
44,['0.01234351']
45,['0.00676293']
46,['2.99229686']
47,['0.01055703']
48,"['0.00067194', '0.00011000']"
49,"['0.00056094', '0.00034660', '0.00326842']"
50,"['0.00106209', '0.00105531', '0.00569178']"
51,"['0.01010000', '0.00020000', '0.00092476']"
52,['0.00696924']
53,['0.00445193']
54,"['0.00076900', '0.00453051']"
55,"['0.00363312', '0.00195508']"
56,['0.00631046']
57,['4.00000000']
58,['0.03535793']
59,"['0.00225180', '0.00300000']"
60,"['0.00223195', '0.00111240']"
61,"['0.00300000', '0.00726820']"
62,['0.00967153']
63,"['0.00693487', '0.00329929']"
64,['0.00634055']
65,['0.00690097']
66,"['0.00357305', '0.00300805']"
67,['0.02500000']
68,['0.02166272']
69,['0.01833265']
70,['0.01499479']
71,['0.01197758']
72,['0.00874753']
73,['2.99207514']
74,['1.00000000']
75,['0.00672468']
76,['0.03201149']
77,['0.02859212']
78,['0.02524566']
79,['0.99665342']
80,['3.99664959']
81,['0.02188802']
82,['0.01254239']
83,['2.98885201']
84,['2.98548217']
85,['3.99330183']
86,['0.99330075']
87,['0.00340155']
88,['0.00910000']
89,['3.99027842']
90,['2.98212840']
91,['1.99475148']
92,['5.00000000']
93,['0.03000000']
94,['0.00325252']
95,['4.99898138']
96,['0.01714000']
97,['0.00165713']
98,['4.99696079']
99,['3.98692614']
100,['0.97280006']
101,['0.97076593']
102,"['0.00080000', '0.00123108']"
103,"['0.00107722', '0.00064414', '0.00370000']"
104,['1.97972906']
105,['3.98489258']
106,['0.01997462']
107,['0.03500000']
108,['2.97878267']
109,"['0.00790000', '0.00100000']"
110,['0.00444318']
111,['0.00171142']
112,"['0.00200000', '0.00010000', '0.00087643', '0.00119153']"
113,"['0.00500000', '0.00120000', '0.00120000', '0.00006080']"
114,"['0.00100000', '0.00040000', '0.00100000', '0.00100000', '0.00200000']"
115,"['0.00100000', '0.00100000']"
116,['0.01780000']
117,['0.00098103']
118,['0.01000000']
119,['0.01109159']
120,"['0.00464370', '0.00236505', '0.00228044']"
121,['0.00800000']
122,"['0.00332879', '0.00008000']"
123,"['0.00300000', '0.00454585', '0.00100000']"
124,"['0.00300000', '0.00800000']"
125,['0.01512251']
126,"['0.00010000', '0.00090000', '0.01406985']"
127,['1.97869366']
128,['0.00200000']
129,"['0.00025639', '0.00300000']"
130,"['0.00508599', '0.00006000', '0.00100000']"
131,['0.03287462']
132,"['0.00341677', '0.00295798']"
133,"['0.00100000', '0.00441663', '0.00110000', '0.00062512', '0.00100000', '0.00116387', '0.00090000', '0.00083958']"
134,['3.98186522']
135,['0.01841165']
136,['0.02674909']
137,['0.00880000']
138,['3.97909037']
139,['0.00290000']
140,['3.97734031']
141,['0.00490000']
142,['0.00432911']
143,['0.00169500']
144,"['0.00049540', '0.00163049']"
145,"['0.00122658', '0.00213902', '0.00592000']"
146,['0.00600000']
147,"['0.00070000', '0.00100000']"
148,['0.01000000']
149,['0.01450000']
150,['0.01672258']
151,"['0.01490000', '0.00880000', '0.00969612', '0.00293990', '0.01680000', '0.00600000']"
152,['1.97666094']
153,['1.97460792']
154,"['0.01000000', '0.00283387']"
155,['0.00480000']
156,"['0.00465317', '0.00806691', '0.06000000', '0.00360000', '0.01500000', '0.00980000', '0.01000000', '0.01000000']"
157,"['0.00270000', '0.00091371']"
158,['0.00500000']
159,['2.97776137']
160,"['0.00124966', '4.98193583']"
161,"['0.00390000', '0.02959206', '0.00279169', '0.05900000', '0.00480000']"
162,['0.02471042']
163,"['0.00226500', '0.00156404', '0.00021000']"
164,"['0.00395899', '0.00038000', '0.00069882']"
165,['0.00642842']
166,['0.00200000']
167,['0.01968066']
168,"['0.00040000', '0.00963986']"
169,['0.00480000']
170,"['0.00290000', '0.00420737', '0.00297165']"
171,"['0.00040000', '0.00017000', '0.00084400']"
172,['0.00800000']
173,['0.00917276']
174,['0.00860000']
175,['0.03000000']
176,['1.92455899']
177,"['0.00228272', '0.00128217', '0.00700000']"
178,['0.96616515']
179,['0.00090000']
180,['0.00090000']
181,"['0.00980000', '0.00056503']"
182,"['0.00500000', '0.05000000']"
183,"['0.00140755', '0.00838598', '0.00056841']"
184,"['0.00500000', '0.01000000']"
185,['0.00090000']
186,['0.00500000']
187,['0.05000000']
188,"['0.00300000', '0.02000000']"
189,"['0.00376982', '0.00670112', '0.00067236']"
190,['0.00300000']
191,['0.01974585']
192,"['0.00696889', '0.00250000', '0.00170000', '0.00097659']"
193,"['0.00434799', '0.00300000', '0.00280000', '0.00090000']"
194,['0.03300000']
195,['0.01000000']
196,['0.01664583']
197,"['0.03097532', '0.00044827']"
198,['0.01000000']
199,"['0.00900000', '0.01000000']"
200,['0.00500000']
201,"['0.00411821', '0.00090000', '0.00263338']"
202,"['0.00010000', '0.00014000']"
203,['0.95550018']
204,['0.00180000']
205,"['0.00318000', '0.00887687', '0.00109010']"
206,['0.03039197']
207,"['0.00050000', '0.00354247', '0.01000000']"
208,"['0.00297306', '0.00006080', '0.00100000']"
209,['0.00400000']
210,['0.00078322']
211,"['0.00871078', '0.00464836', '0.00500000']"
212,"['0.00099000', '0.00297927', '0.00990000', '0.00100000', '0.00005460', '0.00384612', '0.00229870', '0.00390000', '0.00097600', '0.00010000', '0.00200000', '0.00180000', '0.07024500']"
213,"['0.00675093', '0.00290000', '0.00885424', '0.00028000', '0.00054782', '0.01090000', '0.00100000']"
214,['0.00180000']
215,"['0.01146515', '0.01944692', '0.04414675']"
216,['0.01762357']
217,"['0.09980000', '0.00019558', '0.00005460']"
218,['1.91432275']
219,['0.00153783']
220,['0.00129468']
221,"['0.00500000', '0.00390000', '0.09990000', '0.02400000']"
222,"['0.00193800', '0.02310000', '0.00900000']"
223,['0.00096700']
224,"['0.01000000', '0.02900000']"
225,"['1.88418455', '0.03000000', '0.01000000']"
226,"['4.88313869', '0.00500000', '0.00759029', '0.06000000']"
