id,input_amounts
0,['0.00500000']
1,['0.00182747']
2,['0.01569000']
3,['0.01233529']
4,['0.00794500']
5,['4.00000000']
6,['0.00166117']
7,['0.00329400']
8,['0.00329400']
9,['0.00816953']
10,['0.00123602']
11,"['0.00014860', '0.00010000', '0.00461872', '0.00014860']"
12,['0.00064468']
13,['0.00188868']
14,['0.00072778']
15,['0.00940000']
16,['0.00103200']
17,['0.00980000']
18,['0.00672843']
19,['0.00226680']
20,['0.00100000']
21,['0.00329000']
22,['0.00329000']
23,"['0.00010863', '0.00535187']"
24,['2.00000000']
25,"['0.00109000', '0.00208601', '0.00329400']"
26,['0.01000000']
27,"['0.00056976', '0.00108367', '0.00115091', '0.00060715']"
28,"['0.00108085', '0.00329400']"
29,"['0.00164296', '0.00483000', '0.00050000']"
30,['0.00390000']
31,['0.00797728']
32,"['0.00090000', '0.00309151', '0.00210736']"
33,"['0.00000200', '0.00278131', '0.00401237']"
34,"['0.00051685', '0.00000100', '0.00463593']"
35,['0.00100000']
36,"['0.00329600', '0.00055849']"
37,"['0.00331400', '0.00331400', '0.00181166', '0.00135420']"
38,"['0.00084687', '0.00300000', '0.00069425']"
39,['0.01000000']
40,"['0.01000000', '0.00100000']"
41,"['0.00666975', '0.00120751']"
42,['0.00454878']
43,['0.00776500']
44,"['0.00256018', '0.00645491']"
45,['0.00300000']
46,['0.00194346']
47,['0.00173821']
48,['0.00086473']
49,"['0.00020000', '0.00011000', '0.00454087', '0.00065749']"
50,"['0.00227157', '0.00341094']"
51,"['0.00233349', '0.01300000']"
52,['0.00864660']
53,"['0.00076900', '0.00395467']"
54,['0.01010000']
55,"['0.00138224', '0.00677041']"
56,['0.00531663']
57,['0.01570000']
58,"['0.00482232', '0.00231250']"
59,['0.00380259']
60,['0.01236906']
61,"['0.00079816', '0.00903603']"
62,['0.02500000']
63,['0.00650036']
64,['0.02166658']
65,['0.01833097']
66,['0.01500095']
67,['0.01167224']
68,['0.00833300']
69,['0.00500388']
70,"['0.00167536', '0.00316741']"
71,['0.03535793']
72,['0.03214014']
73,['0.03012986']
74,['0.02692031']
75,['0.02358954']
76,"['3.99678910', '0.00034660']"
77,['0.02028512']
78,['0.01695158']
79,['0.01360387']
80,['0.01026973']
81,"['0.00693529', '3.00000000']"
82,['1.00000000']
83,['0.99666227']
84,['0.00910000']
85,['0.99332716']
86,['0.99031971']
87,['0.00576575']
88,"['0.00404010', '0.00183712']"
89,['0.01714000']
90,['0.01380250']
91,['0.96983698']
92,['0.00321563']
93,"['2.99760100', '0.00100000']"
94,['0.01047157']
95,['0.00846386']
96,['0.00300000']
97,['0.01780000']
98,"['0.01490000', '0.00480000']"
99,['0.00645923']
100,"['0.00006080', '0.00468195']"
101,"['0.00116387', '0.00221240', '0.00098946', '0.00273190']"
102,"['0.00444318', '0.00100000']"
103,"['0.00100000', '0.00100000', '0.00300000']"
104,"['0.00100000', '0.00080000']"
105,"['0.00390000', '0.00500000']"
106,"['0.00199053', '0.00078897']"
107,"['0.00171142', '0.00370000']"
108,"['0.00100000', '0.00100000', '0.00100000']"
109,"['0.00270000', '0.00200000', '0.00250308']"
110,['0.00227182']
111,['0.00107722']
112,"['0.00500000', '0.00329652', '0.00120000', '0.00010000']"
113,"['0.00200000', '0.00120000', '0.00057223', '0.00200000']"
114,"['0.00040000', '0.00087643', '0.00123849', '0.00480000']"
115,['0.00265297']
116,"['0.00100000', '0.00589049', '0.00343698']"
117,['0.00116624']
118,"['0.00102248', '0.00480000', '0.00300000']"
119,"['0.00008000', '0.00660562', '0.00193703']"
120,"['0.00090000', '0.00006000', '0.00360000', '0.00444783', '0.00025639']"
121,"['0.00228044', '0.00163049', '0.00010000', '0.00100000']"
122,"['0.00199275', '0.00464370', '0.00341677']"
123,"['0.00666350', '0.00800000']"
124,['0.01109159']
125,"['0.00091371', '0.00169500', '0.00110000', '0.00307676', '0.00324499']"
126,"['0.00561166', '0.01000000', '0.00490000']"
127,"['0.00163867', '0.00290000']"
128,['0.00253173']
129,"['0.00118223', '0.00090000', '0.00592000']"
130,"['0.00614532', '0.00544496']"
131,"['0.00454585', '0.00300000', '0.00476599']"
132,"['0.00500000', '0.00547704']"
133,"['0.00549775', '0.00619701']"
134,"['0.00790000', '0.00068863']"
135,"['0.00226500', '0.00900000', '0.00049540']"
136,"['0.00583111', '0.00880000', '0.00412899']"
137,"['0.00175202', '0.00300000']"
138,"['0.00213902', '0.00274432']"
139,['0.00317531']
140,"['0.00156830', '0.01000000', '0.00069882', '0.00874769']"
141,"['0.00800563', '0.00100000']"
142,['0.00500000']
143,"['0.00100000', '0.00070000']"
144,"['0.00300000', '0.00299430']"
145,"['0.00800000', '0.00200000']"
146,"['0.00180000', '0.00124140']"
147,['0.00280000']
148,"['0.00290000', '0.00074061', '0.00900000']"
149,['0.01450000']
150,"['0.00469413', '0.00600000']"
151,"['0.00860000', '0.00600000', '0.00687704', '0.00500000', '0.00699518', '0.01678208', '0.00113049', '0.00500000', '0.00263338']"
152,['0.00387686']
153,"['0.01680000', '0.03000000', '0.00090000', '0.00880000']"
154,"['0.00969612', '0.00040000', '0.00090000']"
155,['0.00980000']
156,"['0.00659344', '0.00500000', '0.00647464', '0.00096927', '0.01000000', '0.06000000', '0.03500000']"
157,"['0.00301836', '0.01000000']"
158,['0.00185406']
159,"['1.99573006', '0.00100698', '0.01990000', '0.05000000']"
160,"['0.00944384', '0.01500000', '0.02000000', '0.05900000']"
161,"['0.02959206', '0.04000000', '0.03300000']"
162,"['0.00258217', '0.00963986']"
163,"['0.00021000', '0.00700000']"
164,['0.00721200']
165,"['0.01000000', '0.00100482']"
166,['0.00220442']
167,"['0.00599751', '0.00084400']"
168,"['0.00383384', '0.00320093', '0.00342532', '0.00038000']"
169,"['0.00100000', '0.00083075', '0.00150649']"
170,"['0.00800000', '0.01000000']"
171,['0.00233148']
172,['0.00796323']
173,"['0.01000000', '0.00668818']"
174,"['0.00010000', '0.01218252']"
175,['0.02471042']
176,['0.01450305']
177,"['0.00017000', '0.00250000', '0.00429678', '0.00500000']"
178,['0.03000000']
179,['0.00095599']
180,['0.00145330']
181,['0.95483335']
182,['0.01932106']
183,['0.05000000']
184,['0.94450117']
185,['0.00090000']
186,['0.00500000']
187,['0.03964019']
188,['0.02848754']
189,['0.05000000']
190,['0.00425635']
191,['0.00727341']
192,"['0.01000000', '0.00900000']"
193,['0.01430725']
194,['0.09980000']
195,"['0.00062132', '0.00040000', '0.00010000']"
196,['0.02310000']
197,['0.07024500']
198,['0.00318000']
199,['0.03883470']
200,['0.00514409']
201,['0.01980710']
202,['0.00090000']
203,['0.05000000']
204,['0.01000000']
205,['2.98859584']
206,"['0.00006080', '0.00059185', '0.00065391', '0.00180000', '0.00099000', '0.00100000', '0.00014000', '0.00044827', '0.00050000', '0.00090000', '0.00187081', '0.01000000']"
207,"['5.00000000', '0.01000000']"
