id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00477247,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,knapsack,1,0,2,0.00312370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,knapsack,1,0,2,0.00604529,22,22,4263
3,0.00410100,0.00009554,0.00045929,0.000459326923077,knapsack,2,0,2,0.00375716,22,21,6992
4,0.00329000,0.00003628,0.00025725,0.000257304964539,knapsack,1,0,2,0.00167372,21,21,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,0.00283439,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00124857,21,21,1696
7,0.00262000,0.00004325,0.00020791,0.000207932692308,knapsack,2,0,2,0.00440791,21,20,2793
8,0.00100000,0.00002720,0.00019288,0.000192907801418,knapsack,1,0,2,0.00180719,20,20,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00917343,21,21,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00109340,21,21,1066
11,0.00310000,0.00002724,0.00007917,0.0000791860465116,knapsack,4,0,2,0.00541255,28,25,362
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00096557,26,26,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,knapsack,1,0,2,0.00213310,26,26,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.00428728,26,26,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.99595187,32,32,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00702843,33,33,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,3.99327435,33,33,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.01450687,33,33,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,4.99881736,32,32,5803
22,0.00209300,0.00004010,0.00032686,0.000364545454545,bnb,1,0,1,,32,31,1957
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,1.99664113,31,31,2309
24,0.00424600,0.00003357,0.00016975,0.000189661016949,bnb,2,0,1,,31,29,1284
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srd,2,0,2,2.99992745,29,28,2255
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.01248415,28,28,1596
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,28,26,286
28,0.00300000,0.00004090,0.00009927,0.0000992718446602,knapsack,5,0,2,0.00479133,26,22,968
29,0.00294600,0.00001099,0.00005283,0.0000528365384615,srd,2,0,2,0.00109161,22,21,204
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00094577,22,22,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00645865,22,22,1149
32,0.00330000,0.00002189,0.00006361,0.0000636337209302,knapsack,4,0,2,0.00300949,22,19,-110
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00662589,19,19,781
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,knapsack,1,0,2,0.00207440,22,22,293
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00069425,22,22,404
36,0.00300100,0.00001094,0.00003180,0.0000318023255814,knapsack,4,1,2,0.00372558,22,19,-1073
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00653266,20,19,-196
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00146095,19,19,238
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00577104,19,18,-294
40,0.00322700,0.00001062,0.00003845,0.0000384782608696,knapsack,3,0,2,0.00423282,18,16,-454
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00244529,16,16,401
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00173698,17,17,324
43,0.00322000,0.00000609,0.00002925,0.0000292788461538,knapsack,2,0,2,0.00496954,17,16,-191
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,knapsack,2,0,2,0.00391753,18,17,-249
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,18,18,456
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00173821,18,18,365
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00304405,18,18,312
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00153097,19,19,224
49,0.00322600,0.00000866,0.00003136,0.0000313768115942,knapsack,3,0,2,0.00272913,19,17,-624
50,0.00334300,0.00000798,0.00002891,0.0000289130434783,srd,3,0,2,0.00469429,17,15,-822
51,0.00668000,0.00000689,0.00003311,0.000033125000,knapsack,2,0,2,0.00935716,15,14,-268
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00602719,14,14,346
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00666386,14,14,778
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00269760,14,14,319
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00136567,14,14,113
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00365973,14,14,149
57,0.00332700,0.00000961,0.00002793,0.0000279360465116,knapsack,4,0,2,0.00515539,14,11,-1335
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00667010,11,11,203
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00366567,11,11,170
60,0.00332700,0.00000889,0.00004272,0.0000427403846154,knapsack,2,0,2,0.00548517,11,10,-107
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00915252,10,10,184
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00215175,10,10,238
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00581957,10,10,136
64,0.00333000,0.00000827,0.00003974,0.0000397596153846,srd,2,0,2,4.99558909,10,9,-156
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.02166998,9,9,-126
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.01834127,9,9,-204
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.01500203,9,9,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.01167291,9,9,-189
