id,input_amounts
0,['0.00794500']
1,['0.00329000']
2,['0.00940000']
3,"['0.00483000', '0.00312370']"
4,['0.00500000']
5,['0.00604529']
6,['0.00167372']
7,"['0.00331400', '0.00375716']"
8,['0.00283439']
9,['0.01570000']
10,['0.00124857']
11,"['0.00180719', '0.00329400', '0.00329000', '0.00014860']"
12,['0.00109340']
13,['0.00329400']
14,['0.00440791']
15,['1.00000000']
16,['0.00103200']
17,['0.01010000']
18,['4.00000000']
19,['0.01569000']
20,['0.00100000']
21,['5.00000000']
22,['0.00213310']
23,['2.00000000']
24,"['0.00331400', '0.00096557']"
25,"['0.00329400', '3.00000000']"
26,['0.01450687']
27,"['0.00329600', '0.00010000']"
28,"['0.00050000', '0.00090000', '0.00056976', '0.00477247', '0.00109000']"
29,"['0.00390000', '0.00014860']"
30,['0.00428728']
31,['0.00980000']
32,"['0.00329400', '0.00094577', '0.00109161', '0.00100000']"
33,['0.01000000']
34,['0.00541255']
35,['0.00100000']
36,"['0.00000100', '0.00010863', '0.00662589', '0.00000200']"
37,"['0.00069425', '0.00917343']"
38,['0.00479133']
39,"['0.00207440', '0.00702843']"
40,"['0.00146095', '0.00300000', '0.00300949']"
41,['0.00577104']
42,['0.00372558']
43,"['0.00645865', '0.00173698']"
44,"['0.00244529', '0.00653266']"
45,['0.00300000']
46,['0.00194346']
47,['0.00391753']
48,['0.00173821']
49,"['0.00020000', '0.00423282', '0.00153097']"
50,"['0.00272913', '0.00496954', '0.00034660']"
51,"['0.01300000', '0.00304405']"
52,['0.00935716']
53,['0.01000000']
54,['0.00602719']
55,['0.00469429']
56,['0.00666386']
57,"['0.00269760', '0.00076900', '0.00365973', '0.00136567']"
58,['0.01000000']
59,['0.00667010']
60,"['0.00515539', '0.00366567']"
61,['0.01248415']
62,['0.00548517']
63,['0.00915252']
64,"['4.99881736', '0.00011000']"
65,['0.02500000']
66,['0.02166998']
67,['0.01834127']
68,['0.01500203']
69,['0.00581957']
70,['0.01167291']
71,"['0.00249105', '2.99992745']"
72,['0.00866908']
73,['0.03535793']
74,['0.00665880']
75,['0.03214838']
76,['0.02884396']
77,['0.02544562']
78,"['0.00100000', '0.00332803']"
79,['0.02211208']
80,['0.01877794']
81,['0.01544350']
82,['0.99595187']
83,"['0.00611124', '0.00215175']"
84,['0.00910000']
85,['0.00492308']
86,['0.99261414']
87,['0.00576575']
88,['0.00404010']
89,['0.01714000']
90,['0.01380250']
91,['0.97213141']
92,"['0.00138224', '0.00097714']"
93,"['0.00135461', '0.01047157']"
94,"['0.00191563', '0.00182102']"
95,['0.03000000']
96,"['0.00116387', '0.00300000']"
97,['0.00214832']
98,"['0.00100000', '0.00006080', '0.01780000', '0.00113040']"
99,['0.00480000']
100,"['0.00278860', '0.00172528']"
101,"['0.00496136', '0.00250303']"
102,"['0.00100000', '0.00080000', '0.00287836']"
103,"['0.00267014', '0.00370000', '0.00100000']"
104,"['0.00107722', '0.00100000']"
105,"['0.00500000', '0.00300000']"
106,"['0.00100000', '0.00200000']"
107,"['0.00444318', '0.00106619']"
108,['0.00171142']
109,"['0.00339447', '0.00200000', '0.00120000', '0.00100000']"
110,"['0.00070772', '0.00120000']"
111,"['0.00010000', '0.00100000']"
112,"['0.00436067', '0.00079949']"
113,"['0.00101633', '0.00266043']"
114,"['0.00270000', '0.00040000', '0.00499049', '0.00145899']"
115,['3.99327435']
116,"['0.00228044', '0.00087643', '0.00200000', '0.00056511']"
117,['0.00100000']
118,"['0.00390000', '0.00500000']"
119,"['0.00006000', '0.00163049', '3.99226005']"
120,"['0.00008000', '0.00090000', '0.00010000', '0.00085624', '0.00332484', '0.00341677', '0.00059264']"
121,"['0.00454585', '0.00790000', '0.00025639']"
122,"['0.00769274', '0.00199697']"
123,"['0.00480000', '0.01109159', '0.00100000']"
124,"['0.00480000', '1.99664113']"
125,"['0.00300000', '0.00110000', '0.00592000']"
126,"['0.00630361', '0.00091371', '0.00490000', '0.00290000']"
127,['0.00360000']
128,['0.00300000']
129,"['0.00165050', '0.00500000', '0.00159529']"
130,"['0.00417159', '0.01000000']"
131,"['0.00800000', '0.00800000']"
132,"['0.00464370', '0.00090000', '0.00500955']"
133,"['0.00805835', '0.00988882']"
134,['0.00694104']
135,"['0.00169500', '0.00900000', '0.00418529']"
136,"['0.00880000', '0.01000000']"
137,"['0.00049540', '0.00300000']"
138,"['0.00213902', '0.00100000']"
139,['0.00420257']
140,"['0.00143099', '0.00879065', '0.00226500', '0.00500000']"
141,['0.00500000']
142,"['0.00100000', '0.00299291']"
143,"['0.00069882', '0.00070000']"
144,['0.00300000']
145,"['0.00088817', '0.00200000', '0.00259556', '0.00198450', '0.00180000']"
146,"['0.00094022', '0.00447746']"
147,['0.00280000']
148,"['0.00290000', '0.00237541', '0.00500000']"
149,"['0.00451184', '0.00880000']"
150,"['0.00487191', '0.00600000', '0.00836747']"
151,"['0.01490000', '0.00148770', '0.01680000', '0.00900000', '0.00600000', '0.00113049', '0.00969612']"
152,['0.00263338']
153,"['0.00090000', '0.00860000', '0.03500000', '0.01450000']"
154,"['0.00040000', '0.00980000', '0.00350365']"
155,['0.00897464']
156,"['0.00500000', '0.01500000', '0.00090000', '0.01000000', '0.06000000', '0.00951261', '0.00061058', '0.01000000', '0.01000000']"
157,['0.00576808']
158,['0.00219598']
159,"['0.04000000', '0.02000000', '0.02799537', '0.01990000', '0.00134674']"
160,"['0.00371451', '0.02959206', '0.05900000', '0.00922866']"
161,"['0.05000000', '2.99919797']"
162,['0.00700000']
163,"['0.00084400', '0.00963986']"
164,"['0.00647479', '0.00151671']"
165,"['0.00038000', '0.06000000']"
166,['0.00199320']
167,['0.00800000']
168,"['0.01000000', '0.01000000']"
169,"['0.00100000', '0.00129527']"
170,"['0.00499480', '0.00040000', '0.00021000', '0.00298033', '0.00129093', '0.00017000']"
171,['0.00999435']
172,['0.00861886']
173,['0.02471042']
174,"['0.00734381', '0.00090000']"
175,['0.02020658']
176,"['0.00250000', '0.00999921']"
177,"['0.00980000', '0.00323470']"
178,['0.03000000']
179,['0.00228997']
180,['0.00192583']
181,['3.99093955']
182,['0.05000000']
183,"['0.01000000', '0.07024500']"
184,['0.09980000']
185,['0.00155930']
186,['0.00252655']
187,['0.08866379']
188,['0.09990000']
189,['0.01932106']
190,['0.05537269']
191,['0.00318000']
192,"['0.07751114', '0.00170000']"
193,"['0.01000000', '0.01000000']"
194,['0.03915496']
195,"['0.00090000', '0.00178290']"
196,['0.05330793']
197,['0.03775503']
198,['3.98060737']
199,"['0.00815576', '0.01090000']"
200,['0.01000000']
201,"['0.00200000', '0.00896081']"
202,['0.01000000']
203,['0.05000000']
204,"['0.00128062', '0.01000000']"
205,['0.05000000']
206,"['0.00090000', '0.00390000', '0.00100000', '0.00050000', '0.00099000', '0.00010000', '0.00105068', '0.00006080', '0.00500000', '0.00156643', '0.00320680', '0.00010000', '0.00014000', '0.00044827']"
207,['0.95712778']
208,['0.01000000']
209,['0.00180000']
210,['0.00079103']
211,"['0.01570000', '0.01024531', '0.00028000']"
