Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19419586,22.7820000000,25,267,459,233,1,217,bnb: **16** ; Total: **16**,0.00056511,4.99881736,0.228053825023,0.854152856529,0.00466381,0.0000200163519313,0.000170000000,0.004833810000,1,14,1.96995708155,1.72305575036,knapsack: **169** ; srd: **48** ; bnb: **16**
bustabit-tiny-hot-wallet_peak-and-tail,23.92691954,27.5130000000,31,594,925,406,1,362,bnb: **44** ; Total: **44**,0.00050957,4.99881736,0.206918252265,0.808490086229,0.00840463,0.0000207010591133,0.000210800000,0.008615430000,1,14,2.27832512315,2.08673012629,knapsack: **287** ; srd: **75** ; bnb: **44**
bustabit-tiny-hot-wallet_peak-and-tail,27.28261036,33.0313333333,79,961,1354,539,3,472,bnb: **67** ; Total: **67**,0.00050188,8.80296782,0.248608347352,0.953551575367,0.01199464,0.0000222535064935,0.000537200000,0.012531840000,1,18,2.51205936920,2.47315385470,knapsack: **361** ; srd: **111** ; bnb: **67**
bustabit-tiny-hot-wallet_peak-and-tail,19.66701132,35.1275000000,13,1316,1896,684,5,593,bnb: **91** ; Total: **91**,0.00050188,9.99976287,0.281526978196,1.15062483454,0.01481283,0.0000216561842105,0.0000884000000,0.0149012300000,1,51,2.77192982456,3.38942050801,knapsack: **455** ; srd: **138** ; bnb: **91**
bustabit-tiny-hot-wallet_peak-and-tail,26.29673767,35.0408000000,47,1682,2342,818,5,707,bnb: **111** ; Total: **111**,0.00050188,9.99976287,0.291498209943,1.18985835223,0.01762336,0.0000215444498778,0.000319600000,0.017942960000,1,51,2.86308068460,3.42620491125,knapsack: **550** ; srd: **157** ; bnb: **111**
bustabit-tiny-hot-wallet_peak-and-tail,18.38050601,34.4813333333,34,2008,2838,992,5,864,bnb: **128** ; Total: **128**,0.00050064,9.99976287,0.307026118785,1.20476934217,0.02230146,0.0000224813104839,0.000231200000,0.022532660000,1,51,2.86088709677,3.31933187497,knapsack: **662** ; srd: **202** ; bnb: **128**
bustabit-tiny-hot-wallet_peak-and-tail,26.40385369,35.8111428571,48,2415,3307,1085,5,940,bnb: **145** ; Total: **145**,0.00050064,9.99976287,0.287066056085,1.15820198974,0.02453685,0.0000226146082949,0.000326400000,0.024863250000,1,51,3.04792626728,3.62640834509,knapsack: **724** ; srd: **216** ; bnb: **145**
bustabit-tiny-hot-wallet_peak-and-tail,23.47153385,37.0072500000,43,2818,3792,1182,5,1017,bnb: **165** ; Total: **165**,0.00050064,9.99976287,0.271586021013,1.11655032300,0.02745202,0.0000232250592217,0.000292400000,0.027744420000,1,51,3.20812182741,3.87689502219,knapsack: **792** ; srd: **225** ; bnb: **165**
bustabit-tiny-hot-wallet_peak-and-tail,15.35500229,38.1991111111,22,3213,4294,1287,5,1103,bnb: **184** ; Total: **184**,0.00050064,9.99976287,0.260504905993,1.07536520580,0.03116165,0.0000242126262626,0.000149600000,0.031311250000,1,51,3.33644133644,4.08457639284,knapsack: **852** ; srd: **251** ; bnb: **184**
bustabit-tiny-hot-wallet_peak-and-tail,15.77899272,38.1484000000,21,3571,4777,1429,5,1227,bnb: **202** ; Total: **202**,0.00050064,9.99976287,0.246151725493,1.02439257811,0.03404379,0.0000238235059482,0.000142800000,0.034186590000,1,51,3.34289713086,4.03798321040,knapsack: **954** ; srd: **273** ; bnb: **202**
