id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,srd,1,0,2,0.01252747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,knapsack,1,0,2,0.00312370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,knapsack,1,0,2,0.00604529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00187953,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,knapsack,1,0,2,0.00150372,22,22,2548
5,0.00319400,0.00002493,0.00011981,0.000119855769231,srd,2,0,2,4.00009507,22,21,1322
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00107857,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,srd,1,0,2,0.99735068,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,knapsack,1,0,2,0.00085233,21,21,1910
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00613688,22,21,2466
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00069716,21,21,1066
11,0.00310000,0.00001647,0.00007917,0.0000791826923077,knapsack,2,0,2,0.00296210,28,27,644
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00056933,28,28,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00180120,28,28,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,2.99987937,28,28,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,2.99583124,34,34,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.02192843,35,35,5026
18,0.00665800,0.00012748,0.00047972,0.000520326530612,bnb,3,0,1,,35,32,8693
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,2.99464811,32,32,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00271736,31,31,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00117491,31,31,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.99399181,31,31,2309
24,0.00424600,0.00004400,0.00016975,0.000179591836735,bnb,3,0,1,,31,28,1647
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srd,2,0,2,0.00101745,28,27,2255
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00797728,27,27,1596
27,0.00337500,0.00004763,0.00010801,0.000125013123360,bnb,5,0,1,,27,22,909
28,0.00300000,0.00003415,0.00009927,0.0000992732558140,knapsack,4,2,2,0.00280991,22,19,972
29,0.00294600,0.00001099,0.00005283,0.0000528365384615,knapsack,2,0,2,0.00314692,19,18,204
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,1.99665849,19,19,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00675865,19,19,1149
32,0.00330000,0.00001324,0.00006361,0.0000636538461538,knapsack,2,0,2,0.00085113,19,18,384
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00338454,18,18,781
34,0.00333400,0.00000812,0.00002942,0.0000294202898551,knapsack,3,0,2,0.00504708,21,19,-665
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00054538,19,19,404
36,0.00300100,0.00000662,0.00003180,0.0000318269230769,knapsack,2,0,2,0.00548276,19,18,-147
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00296098,19,18,-196
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00271510,18,17,-279
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00464703,17,17,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00656757,17,17,382
41,0.00332000,0.00000848,0.00004075,0.0000407692307692,srd,2,0,2,4.00015113,17,16,-1
