id,input_amounts
0,['0.01570000']
1,['0.00329000']
2,['0.00940000']
3,['0.00604529']
4,['0.00483000']
5,"['4.00000000', '0.00331400']"
6,['0.00150372']
7,['1.00000000']
8,['0.00187953']
9,"['0.00014860', '0.01252747']"
10,['0.00085233']
11,"['0.00107857', '0.00500000']"
12,['0.00069716']
13,['0.00296210']
14,['3.00000000']
15,['2.99987937']
16,['0.00103200']
17,['0.02500000']
18,"['0.00014860', '0.00613688', '0.00050000']"
19,['2.99583124']
20,['0.00100000']
21,['0.00390000']
22,['0.00331400']
23,['0.99735068']
24,"['0.00329000', '0.00010000', '0.00090000']"
25,"['0.00329400', '0.00109000']"
26,['0.01000000']
27,"['0.00056933', '0.00117491', '0.00056976', '0.00010863', '0.00100000']"
28,"['0.00312370', '0.00000200', '0.00271736', '0.00000100']"
29,"['0.00329400', '0.00280991']"
30,['2.00000000']
31,['0.01010000']
32,"['0.00314692', '0.00101745']"
33,['0.00675865']
34,"['0.00329400', '0.00329400', '0.00180120']"
35,['0.00085113']
36,"['0.00794500', '0.00054538']"
37,"['0.00300000', '0.00329600']"
38,"['0.00100000', '0.00504708']"
39,['0.00797728']
40,['0.00980000']
41,"['4.00009507', '0.00338454']"
42,"['0.00464703', '0.00020000']"
43,"['4.00015113', '0.00271510']"
44,"['0.00285625', '0.00548276']"
45,['0.00296098']
46,['0.00190444']
47,['0.00300000']
48,['0.00169919']
49,"['0.00656757', '0.00149195']"
50,"['0.01000000', '0.00212652']"
51,"['0.00327859', '0.00482699', '0.00034660']"
52,['0.00877750']
53,['0.01000000']
54,['0.00666386']
55,"['0.00544753', '0.00333427']"
56,['0.00545147']
57,['0.01300000']
58,"['0.00011000', '0.00966906']"
59,"['0.00176304', '0.02192843']"
60,['0.00644683']
61,"['0.00244734', '0.00076900', '0.00311380']"
62,['0.01569000']
63,['0.01235658']
64,"['0.00299408', '0.00902363']"
65,['0.00867944']
66,['0.00534942']
67,['0.02068494']
68,['0.01734570']
69,['0.01401658']
70,['0.01068806']
71,"['0.00768423', '0.00202071']"
72,['0.00648441']
73,['0.03535793']
74,['0.03214838']
75,['0.02881761']
76,['0.00447413']
77,"['0.00107579', '3.99964014']"
78,['0.02551319']
79,['0.02216548']
80,['0.01883134']
81,['0.01549690']
82,['0.99399181']
83,['0.99065408']
84,['0.00616464']
85,['0.00910000']
86,['0.98731897']
87,['0.00283039']
88,['0.00609255']
89,['0.01714000']
90,"['0.00343469', '0.00110474']"
91,['0.96683624']
92,['0.01380250']
93,['0.03000000']
94,['0.01279927']
95,['0.01079156']
96,"['0.00300000', '0.00100000']"
97,['0.00198445']
98,"['0.00096653', '0.01780000', '0.00480000']"
99,['0.00854258']
100,['0.00653118']
101,"['0.00452383', '0.00006080']"
102,"['0.00080000', '0.00120568']"
103,"['0.00107722', '0.00100000', '0.00480000', '0.00116387', '0.00100000']"
104,"['0.00100000', '0.00100000', '0.00100000']"
105,"['0.00300000', '0.00444318']"
106,['0.00443367']
107,"['0.00171142', '0.00480000']"
108,"['0.01450000', '0.00100000']"
109,"['0.00120000', '0.00198536', '0.00439652']"
110,['0.00265062']
111,['0.00154504']
112,"['0.00390000', '0.00289685', '0.00270000']"
113,"['0.00087643', '0.00200000', '0.00500000', '0.00100000']"
114,"['0.00200000', '0.00878693', '0.00010000']"
115,['0.00800000']
116,"['0.00104005', '0.00228044', '0.00040000']"
117,['0.00100000']
118,"['0.00551238', '0.00200000']"
119,"['0.00006000', '0.00120000', '0.00090000', '0.00085624']"
120,"['0.00790000', '0.00008000', '0.00010000', '0.00592000', '0.00025639']"
121,"['0.00300000', '0.00602696']"
122,"['0.00193722', '0.00360000']"
123,"['0.00500000', '0.00100000', '0.00090000', '0.00163049']"
124,"['0.00370000', '0.00341677', '0.00091371']"
125,"['0.00698570', '0.00454585']"
126,"['0.00110000', '0.00800000', '0.01109159']"
127,"['0.00169500', '0.00290000']"
128,['0.00300000']
129,"['0.00499239', '0.00258806']"
130,"['0.01000000', '0.00464370']"
131,"['0.00215112', '0.00434846', '0.00401980']"
132,"['0.00490000', '0.00575717']"
133,"['0.01000000', '0.00165050']"
134,"['0.00517768', '0.00064437']"
135,"['0.00534915', '0.00151527', '0.00430912']"
136,"['0.00306453', '0.00049540', '0.01490000']"
137,"['0.00116516', '0.00900000']"
138,['0.00300000']
139,"['0.00129455', '0.00226500']"
140,"['0.00853046', '0.00815746', '0.00213902']"
141,['0.00500000']
142,"['0.00069882', '0.00194921', '0.00100000']"
143,['0.00163688']
144,"['0.00100000', '0.00070000', '0.00180000']"
145,"['0.00300000', '0.00582076', '0.00299291']"
146,['0.00440455']
147,"['0.00200000', '0.00118234']"
148,"['0.00151022', '0.00500000']"
149,"['0.00074925', '0.00280000', '0.00136462', '0.00880000']"
150,"['0.00255121', '0.00600000', '0.00600000', '0.00137686']"
151,"['0.00390099', '0.01680000', '0.01449454', '0.00263338', '0.00500000', '0.01999650', '0.00619939']"
152,['0.00900000']
153,"['0.00090000', '0.00290000', '0.00880000', '0.00860000', '0.00980000', '0.00969612', '0.00090000', '0.00844752']"
154,"['0.01001089', '0.01000000']"
155,['0.00500000']
156,"['0.01500000', '0.06000000', '0.00500000', '0.03500000', '0.00179344', '0.01000000']"
157,['0.00577681']
158,"['0.00220471', '0.00040000']"
159,"['0.02000000', '0.01990000', '0.04000000', '0.00697720', '0.01000000', '0.00963986']"
160,"['0.01002646', '0.00650142', '0.05900000', '0.02959206']"
161,['0.95183261']
162,"['0.00700000', '0.00510142']"
163,"['0.00038000', '0.00709139']"
164,"['0.00021000', '0.01000000']"
165,"['0.01000000', '0.00346232']"
166,['0.00175298']
167,['0.00800000']
168,"['0.00499480', '0.00519883', '0.00084400', '0.00845501']"
169,"['0.00105505', '0.00100000']"
170,['0.02471042']
171,['0.00948330']
172,['0.00810781']
173,"['0.00090000', '0.00105071', '0.00683276', '0.00040000']"
174,['0.01467583']
175,"['0.00467412', '0.00500000', '0.00966965']"
176,['0.03000000']
177,"['0.00912936', '0.00980000']"
178,['0.01979373']
179,['0.00250000']
180,['0.00213586']
181,['0.09980000']
182,['2.99464811']
183,['0.06000000']
184,['0.05000000']
185,['0.00176933']
186,['0.01000000']
187,['0.05000000']
188,['0.08946782']
189,['3.99737929']
190,['0.00500000']
191,['0.03886379']
192,['0.09990000']
193,['0.85182756']
194,['0.01000000']
195,"['0.00010000', '0.00170000', '0.00010000']"
196,['0.07024500']
197,['0.00900000']
198,['0.00911479']
199,['0.03300000']
200,['0.01000000']
201,['0.05000000']
202,['0.01000000']
203,"['3.98621399', '0.00842121']"
204,"['0.00090000', '0.00780560']"
205,['0.08777087']
206,"['0.00044827', '0.00200000', '0.00797421', '0.00390000', '0.00006080', '0.00099000', '0.00100000', '0.00014000', '0.00017000', '0.00149065', '0.00050000', '0.00028000']"
207,['0.07464215']
208,['0.03673447']
209,"['0.00180000', '0.00077814']"
210,['0.00090000']
211,"['0.00400000', '0.00068889', '0.01570000', '0.00180000']"
212,"['0.00097600', '0.01090000', '0.00229870', '0.00990000', '0.00387523', '0.00290000', '0.00005460', '0.00318000', '0.00795187', '0.05000000', '0.00798229']"
213,"['0.01000000', '0.00293524', '0.00925635', '0.00900000']"
214,['0.00156490']
215,"['0.00975391', '0.01944692', '0.00767029', '0.00019558', '0.02400000', '0.01000000', '0.00390000', '0.00005460']"
216,['0.01397240']
217,"['0.01000000', '0.05000000', '0.00396715', '0.04229076']"
218,"['0.03884735', '0.00130988']"
219,['0.00193800']
220,['0.00173392']
221,"['0.03271812', '0.00969500', '0.01006270', '0.01000000', '0.00039116', '0.01030000', '0.04964019', '0.00152278']"
222,"['0.02310000', '0.01950000']"
223,['0.00096700']
224,"['0.02700000', '0.00071305', '0.00624698']"
