id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5433
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00314770,22,22,4925
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.01234529,22,22,4603
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4888
4,0.00329000,0.00005351,0.00025725,0.000257259615385,srd,2,0,2,0.99680509,22,21,4298
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,0.00178910,21,21,1527
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,2036
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00049838,21,21,2399
8,0.00100000,0.00002720,0.00019288,0.000192907801418,knapsack,1,0,2,0.00076190,21,21,2250
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,4.99347343,22,22,2205
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,22,22,1406
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00017883,29,29,1125
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,30,30,2224
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00213310,30,30,2370
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,30,29,652
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.02095187,35,35,3720
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,35,34,1665
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,4.99040186,36,36,5366
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.00312613,36,35,8014
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,2.99881687,35,35,6177
