id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['0.01570000']
3,['0.00483000']
4,"['0.00014860', '1.00000000']"
5,['0.00500000']
6,['0.00066424']
7,['0.00314770']
8,['0.00178910']
9,['5.00000000']
10,['0.00023909']
11,['0.00329000']
12,['0.00014860']
13,['0.00329400']
14,['0.00011747']
15,['0.02500000']
16,['0.00103200']
17,['4.99347343']
18,"['0.00980000', '0.00008392']"
19,['3.00000000']
20,['0.00100000']
21,['0.00329400']
22,['0.00213310']
23,['0.01234529']
24,['0.00940000']
25,['0.02095187']
26,['0.00390000']
27,"['0.00010000', '0.00329600']"
28,['0.00513006']
29,"['0.00002077', '0.00010863', '0.00076190', '0.00017883', '0.00090000', '0.00100000']"
30,"['0.00187728', '0.00329400']"
31,['0.01569000']
32,['0.00331400']
33,"['0.00056976', '0.00182192', '0.00049838', '0.00050000']"
34,"['0.00000100', '0.00100000', '0.00312613', '0.00000200']"
35,['0.00078500']
36,"['0.00109000', '0.00211136']"
37,"['0.00047925', '0.00300000']"
38,"['0.00014423', '0.00329400']"
39,['0.00794500']
40,['0.00461475']
41,"['0.00211606', '0.00138232']"
42,['0.00898642']
43,['0.00699782']
44,['0.01000000']
45,['0.00300000']
46,"['0.00010625', '0.00016990']"
47,['0.00194346']
48,"['0.00019374', '0.00006841']"
49,['0.00377369']
50,['0.00494133']
51,['0.01000000']
52,"['0.00011000', '0.00106998', '0.00159425', '0.00054326', '0.00005338']"
53,['0.01759709']
54,"['0.00331533', '0.00003135']"
55,['0.01000000']
56,['0.00667138']
57,['0.00366725']
58,['0.01010000']
59,['0.00677010']
60,['0.00376567']
61,['0.01234865']
62,['0.00901702']
63,['0.00568360']
64,"['0.00076900', '0.00235065', '0.00033631']"
65,['0.01300000']
66,['0.00966998']
67,['0.00634127']
68,"['0.00300203', '0.00034660']"
69,"['0.03535793', '0.00020000']"
70,['0.01426095']
71,['0.01125712']
72,['0.00803933']
73,['0.00602905']
74,"['0.00043264', '0.00281950', '0.00011499']"
75,['0.03222774']
76,['0.02892332']
77,['0.02552498']
78,['0.02219144']
79,['0.01884373']
80,"['0.99680509', '0.00100000']"
81,['0.01550959']
82,['0.00617733']
83,['0.99446806']
84,['0.00910000']
85,['0.00576575']
86,['0.99113295']
87,['0.00275830']
88,['0.00283960']
89,['0.01714000']
90,"['0.01380250', '0.00001755']"
91,"['2.99881687', '0.01048630']"
92,['0.00103265']
93,['0.03000000']
94,['0.01999650']
95,['0.01798879']
96,['0.00300000']
97,['0.01598416']
98,['0.97065022']
99,"['0.00098946', '0.00100000', '0.00003083']"
100,['0.00480000']
101,['0.95563798']
102,"['0.00018174', '0.00100000', '0.00002942', '0.00080000']"
103,"['0.00300000', '0.00001490']"
104,['0.95105614']
105,"['0.00100000', '0.00100000', '0.00100000', '0.00006080']"
106,['0.00200000']
107,['2.99429782']
108,"['0.00000776', '0.00100000']"
109,"['0.00107722', '0.00116387', '0.00270000']"
110,['0.00120000']
111,"['0.00046318', '0.00004508']"
112,"['0.01109159', '0.00279265']"
113,['0.03500000']
114,"['0.00171142', '0.00087643', '0.00009442', '0.00120000', '0.00100000', '0.00010000', '0.00000983', '0.00040000']"
115,['0.00200000']
116,['0.00390000']
117,['0.00018443']
118,"['0.00004067', '0.00454585', '0.00100000']"
119,"['0.00000903', '0.00300000']"
120,"['0.00008000', '0.00341677', '0.00200000', '0.00098570', '0.00025639', '0.00163049', '0.00090000']"
121,"['0.00006000', '0.00500000']"
122,['0.03189210']
123,"['0.00169500', '0.00091371', '0.00592000']"
124,['0.01000000']
125,['0.95004866']
126,"['0.00300000', '0.00290000', '0.00464370', '0.00110000', '0.00010000', '0.00228044', '0.00100000']"
127,"['0.00005284', '0.00198517']"
128,['0.00360000']
129,['0.00370000']
130,['0.01780000']
131,['0.00974041']
132,"['0.00225050', '0.00047219', '0.00363283']"
133,['0.01169102']
134,"['0.00226500', '0.00068686']"
135,"['0.00500000', '0.00500000', '0.00003107']"
136,"['0.00480000', '0.00002269', '0.00019434', '0.00500000']"
137,['0.00213902']
138,"['0.00100000', '0.00090000']"
139,['0.00300000']
140,"['0.00013380', '0.00049540', '0.00480000', '0.00600000', '0.00019197', '0.00139299']"
141,['0.00444318']
142,"['0.00200000', '0.01490000']"
143,['0.00069882']
144,['0.00243609']
145,"['0.00490000', '0.00032426', '0.00280000', '0.00024428', '0.00100000']"
146,"['0.00070000', '0.00300000']"
147,['0.00180000']
148,"['0.00065773', '0.00500000', '0.00013049']"
149,"['4.99040186', '0.00600000']"
150,"['0.00880000', '0.01000000']"
151,"['0.00002465', '0.01489159', '0.00969612', '0.00000484', '0.00290000', '0.00880000', '0.00500000', '0.00790000', '0.00980000']"
152,['0.94003762']
153,"['0.01680000', '0.06000000', '0.00800000', '0.00800000']"
154,['0.01000000']
155,"['0.00090000', '0.00263338']"
156,"['0.01000000', '0.04277464', '0.00040000', '0.00032371', '0.00090000', '0.01000000', '0.02850958', '0.00002022', '0.00860000', '0.01450000', '0.00500000']"
157,['0.00900000']
158,['0.00542790']
159,"['0.01990000', '0.02000000', '0.01496624', '0.00457866', '0.00900000', '0.00907514', '0.01500000', '0.00963986']"
160,['2.00000000']
161,"['0.00213982', '0.04000000', '0.05900000']"
162,['0.00700000']
163,"['0.00199320', '0.00084400', '0.00112993', '0.00021000']"
164,['0.01000000']
165,"['0.00016213', '0.00499242']"
166,['0.01000000']
167,['0.00800000']
168,"['0.00499480', '0.00930207']"
169,"['0.00100000', '0.00014724']"
170,['0.02471042']
171,['0.00429122']
172,['0.00291573']
173,['0.01467583']
174,"['0.00010000', '0.00500000']"
175,['0.06000000']
176,"['0.00009089', '0.01017199']"
177,"['0.00017000', '0.00014290', '0.00040000', '0.00980000']"
178,['0.02959206']
179,['0.00038000']
180,['0.00090000']
181,"['0.01000000', '0.00053347']"
182,['0.09990000']
183,['0.08905496']
184,['0.01891312']
185,['0.00164068']
186,['0.00136200']
187,['0.09980000']
188,['0.93801482']
189,['0.92383453']
190,['0.00250000']
191,['0.00500000']
192,"['4.98659367', '0.00777691']"
193,['0.07024500']
194,['0.05000000']
195,['2.99218772']
196,['0.04797421']
197,['0.05000000']
198,['0.01000000']
199,"['0.02310000', '0.01000000']"
200,['4.98222761']
201,['0.03300000']
202,['0.00090000']
203,"['0.01000000', '4.98017948']"
204,['1.89999241']
205,"['0.00100000', '0.02000000']"
206,"['0.00006080', '0.00200000', '0.00786049', '0.00900000']"
