Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19433897,26.6380000000,24,267,445,233,1,202,bnb: **29** ; knapsack: **2** ; Total: **31**,0.00000409,4.99347343,0.334035009307,1.06634204439,0.00452070,0.0000194021459227,0.000163200000,0.004683900000,1,13,1.90987124464,1.80648651194,knapsack: **138** ; srd: **66** ; bnb: **29**
bustabit-tiny-hot-wallet_peak-and-tail,23.92728427,31.1310000000,42,594,897,406,1,345,bnb: **56** ; knapsack: **5** ; Total: **61**,0.00000364,4.99347343,0.317341376145,1.02782843175,0.00803990,0.0000198027093596,0.000285600000,0.008325500000,1,19,2.20935960591,2.45613589598,knapsack: **246** ; srd: **104** ; bnb: **56**
bustabit-tiny-hot-wallet_peak-and-tail,27.28335149,42.1833333333,95,961,1310,539,2,444,bnb: **88** ; knapsack: **7** ; Total: **95**,0.00000364,8.79825432,0.336974399212,1.15629733333,0.01125351,0.0000208784972171,0.000646000000,0.011899510000,1,19,2.43042671614,2.75321407373,knapsack: **293** ; srd: **158** ; bnb: **88**
bustabit-tiny-hot-wallet_peak-and-tail,19.66782399,48.6320000000,27,1316,1842,684,4,553,bnb: **123** ; knapsack: **8** ; Total: **131**,0.00000364,9.94070970,0.331323257360,1.15594710092,0.01400016,0.0000204680701754,0.000183600000,0.014183760000,1,37,2.69298245614,3.41075860395,knapsack: **370** ; srd: **191** ; bnb: **123**
bustabit-tiny-hot-wallet_peak-and-tail,26.29746445,46.1204000000,51,1682,2287,818,4,656,bnb: **153** ; knapsack: **9** ; Total: **162**,0.00000364,9.94070970,0.343008020290,1.25828004061,0.01689658,0.0000206559657702,0.000346800000,0.017243380000,1,37,2.79584352078,3.55356043428,knapsack: **445** ; srd: **220** ; bnb: **153**
bustabit-tiny-hot-wallet_peak-and-tail,18.38161324,44.8986666667,39,2008,2770,992,4,801,bnb: **181** ; knapsack: **10** ; Total: **191**,0.00000343,9.94070970,0.364266198027,1.29147326802,0.02119423,0.0000213651512097,0.000265200000,0.021459430000,1,37,2.79233870968,3.47271645988,knapsack: **537** ; srd: **274** ; bnb: **181**
bustabit-tiny-hot-wallet_peak-and-tail,26.40522418,47.1191428571,72,2415,3214,1085,4,871,bnb: **204** ; knapsack: **10** ; Total: **214**,0.00000343,9.94070970,0.353577819621,1.25153338492,0.02316636,0.0000213514838710,0.000489600000,0.023655960000,1,37,2.96221198157,3.77130487896,knapsack: **583** ; srd: **298** ; bnb: **204**
bustabit-tiny-hot-wallet_peak-and-tail,23.47308133,50.9237500000,69,2818,3684,1182,4,935,bnb: **237** ; knapsack: **10** ; Total: **247**,0.00000343,9.94070970,0.334721067733,1.21118673651,0.02590454,0.0000219158544839,0.000469200000,0.026373740000,1,37,3.11675126904,4.00400818707,knapsack: **633** ; srd: **312** ; bnb: **237**
bustabit-tiny-hot-wallet_peak-and-tail,15.35660060,52.7366666667,25,3213,4199,1287,4,1011,bnb: **263** ; knapsack: **13** ; Total: **276**,0.00000343,9.94070970,0.319009169802,1.16818401329,0.02956334,0.0000229707381507,0.000170000000,0.029733340000,1,37,3.26262626263,4.30479788780,knapsack: **686** ; srd: **338** ; bnb: **263**
bustabit-tiny-hot-wallet_peak-and-tail,15.78075003,51.9282000000,27,3571,4671,1429,4,1127,bnb: **287** ; knapsack: **15** ; Total: **302**,0.00000343,9.94070970,0.307424681029,1.12091331893,0.03228648,0.0000225937578726,0.000183600000,0.032470080000,1,37,3.26871938418,4.26263254856,knapsack: **769** ; srd: **373** ; bnb: **287**
bustabit-tiny-hot-wallet_peak-and-tail,15.88075003,51.9234153169,28,3572,4671,1429,4,1127,bnb: **287** ; knapsack: **15** ; Total: **302**,0.00000343,9.94070970,0.307424681029,1.12091331893,0.03228648,0.0000225937578726,0.000190400000,0.032476880000,1,37,3.26871938418,4.26263254856,knapsack: **769** ; srd: **373** ; bnb: **287**
