id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5433
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.01553370,22,22,4925
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00604529,22,22,4603
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4888
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,4298
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1527
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,2036
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2399
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226880,21,21,2250
9,0.00650000,0.00003919,0.00018838,0.000188413461538,srd,2,0,2,0.00471981,22,21,3146
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00313883,21,21,1406
11,0.00310000,0.00002604,0.00007917,0.0000831948881789,bnb,4,0,1,,28,24,911
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,25,25,2224
13,0.00113200,0.00002890,0.00020493,0.000204964539007,knapsack,1,0,2,0.00197793,25,25,2370
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.00377937,25,25,1649
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.99595187,31,31,3720
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,31,30,1665
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,1.99692843,32,32,5366
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00337435,32,32,5091
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00259624,32,32,6177
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6853
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00881736,31,31,6143
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00766091,31,31,3577
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.01233113,31,31,2649
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,1.99265849,31,31,2022
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srd,2,0,2,0.00437746,31,30,2935
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00129128,30,30,1936
27,0.00337500,0.00002012,0.00010801,0.000113672316384,bnb,2,0,1,,30,28,878
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,0.01251970,28,28,1324
29,0.00294600,0.00002367,0.00005283,0.0000621259842520,bnb,5,0,1,,28,23,445
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00165849,24,24,1500
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00898978,24,24,1489
32,0.00330000,0.00001324,0.00006361,0.0000636538461538,srd,2,0,2,0.00240657,24,23,1064
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00662589,23,23,1121
34,0.00333400,0.00001410,0.00002942,0.0000294363256785,knapsack,6,1,2,0.00005248,26,21,-62
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00078425,21,21,744
36,0.00300100,0.00000662,0.00003180,0.0000318269230769,knapsack,2,0,2,0.00018320,21,20,533
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00001146,21,20,484
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00104708,20,20,578
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00031153,20,19,386
40,0.00322700,0.00000800,0.00003845,0.0000384615384615,knapsack,2,0,2,0.00007653,19,18,644
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00271954,18,18,741
42,0.00198400,0.00000678,0.00003259,0.0000325961538462,knapsack,2,0,2,0.00006368,19,18,546
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00340176,18,18,630
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,knapsack,2,0,2,0.00106088,20,19,431
45,0.00105000,0.00001088,0.00004637,0.0000989090909091,bnb,1,0,1,,20,19,553
46,0.00020000,0.00001146,0.00003719,0.0000647457627119,bnb,2,0,1,,19,17,309
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00212652,17,17,652
48,0.00020400,0.00000477,0.00002292,0.0000229326923077,knapsack,2,0,2,0.00003811,18,17,380
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00558693,17,17,648
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00223985,17,17,620
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00230511,17,17,662
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00103404,17,16,586
53,0.00332500,0.00001415,0.00007896,0.0000799435028249,bnb,2,0,1,,16,14,403
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00667041,14,14,659
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00334179,14,14,481
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00033766,14,14,517
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00918876,14,14,503
