id,input_amounts
0,['0.00329000']
1,['0.01570000']
2,['0.00940000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00329600']
9,"['0.00794500', '0.00331400']"
10,['0.00329400']
11,"['0.00226880', '0.00006396', '0.00064468', '0.00014860']"
12,['0.00014860']
13,['0.00313883']
14,['0.00390000']
15,['1.00000000']
16,['0.00103200']
17,['2.00000000']
18,['0.01010000']
19,['0.00377937']
20,['0.00100000']
21,['0.01000000']
22,['0.00980000']
23,['0.01569000']
24,['1.99692843']
25,"['0.00766091', '0.00008310']"
26,['0.00331400']
27,"['0.00002077', '0.00337435']"
28,['0.01553370']
29,"['0.00010863', '0.00129128', '0.00010000', '0.00056976', '0.00090000']"
30,['0.00500000']
31,['0.01233113']
32,"['0.00471981', '0.00100000']"
33,['0.01000000']
34,"['0.00000100', '0.00050000', '0.00100000', '0.00165849', '0.00000200', '0.00023909']"
35,['0.00109000']
36,"['0.00240657', '0.00078425']"
37,"['0.00005248', '0.00329400']"
38,['0.00437746']
39,"['0.00104708', '0.00259624']"
40,"['0.00031153', '0.00300000']"
41,['0.00604529']
42,"['0.00007653', '0.00197793']"
43,['0.00662589']
44,"['0.00271954', '0.00340176']"
45,['0.00106088']
46,"['0.00020000', '0.00001146']"
47,['0.00300000']
48,"['0.00006368', '0.00018320']"
49,['0.00881736']
50,['0.00558693']
51,['0.00898978']
52,"['0.00223985', '0.00212652']"
53,"['0.00230511', '0.00103404']"
54,['0.01000000']
55,['0.00667041']
56,['0.00334179']
57,['0.01251970']
58,['0.00918876']
59,['0.00585886']
60,"['0.00011000', '0.00034660', '0.00003811', '0.00285443']"
61,['0.01300000']
62,['0.00966837']
63,['0.00633495']
64,"['0.00033766', '0.00300200']"
65,['0.02500000']
66,['0.02166998']
67,['0.01834127']
68,['0.01500203']
69,['0.01167291']
70,['0.00834439']
71,['0.00534056']
72,['0.00212277']
73,['0.03535793']
74,['0.03214838']
75,['0.02881761']
76,['0.02551319']
77,['0.02211485']
78,['0.01878131']
79,['0.01543360']
80,['0.01209946']
81,"['0.00076900', '0.00876502']"
82,['0.99595187']
83,['0.99261414']
84,['0.00910000']
85,['0.00576575']
86,['0.98927903']
87,['0.00275830']
88,['0.01714000']
89,['0.01448214']
90,['0.01114464']
91,['0.96879630']
92,"['0.03000000', '0.00103265']"
93,['0.03002788']
94,['1.99265849']
95,"['0.00100000', '0.00116387']"
96,['0.00300000']
97,['0.02002438']
98,['0.01780000']
99,"['0.00011249', '0.01490000']"
100,['0.01900646']
101,['0.95379267']
102,"['0.00100000', '0.00006080', '0.00080000', '0.00015704']"
103,"['0.00300000', '0.00000759']"
104,['0.00107722']
105,"['0.00100000', '0.00006974', '0.00100000', '0.00098946']"
106,['4.00000000']
107,['0.00444318']
108,"['0.00004348', '0.00100000']"
109,"['0.00003802', '0.00270000', '0.00100000', '0.00100000', '0.00019973']"
110,['0.00120000']
111,['0.00100000']
112,['0.01699911']
113,['1.99065078']
114,"['0.00200000', '0.00049501', '0.00278776', '0.00009442']"
115,['0.01285909']
116,"['0.00040000', '0.00100000', '0.00233308']"
117,['0.00087643']
118,"['0.00228044', '0.00200000', '0.00120000', '0.00010000']"
119,"['0.00001123', '0.00300000']"
120,"['0.00073267', '0.00025639', '0.00390000', '0.00090000', '0.00006000', '0.00008000', '0.00171142', '0.00163049']"
121,"['0.00500000', '0.00010000']"
122,['0.00341677']
123,['3.00000000']
124,"['0.00009284', '0.00003425', '0.00790000']"
125,['5.00000000']
126,"['0.00100000', '0.00200000', '0.00110000', '0.00500000', '0.00592000']"
127,"['0.00090000', '0.00169500']"
128,"['0.00091371', '0.00058806']"
129,['0.00360000']
130,"['0.00370000', '0.00290000']"
131,['0.01299567']
132,['0.00688809']
133,"['0.00048676', '0.01000000', '0.00054263']"
134,"['0.00226500', '0.00037219', '0.00014967']"
135,"['0.00002126', '0.00500000', '0.00500000']"
136,"['0.01000000', '0.00001288']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00049540', '0.00100000', '0.00013380']"
140,"['0.00300000', '0.00001548', '0.00900000', '0.00100000']"
141,['0.00480000']
142,"['0.00002753', '0.00129455', '0.00069882']"
143,['0.00070000']
144,['0.94921083']
145,"['0.00490000', '0.00464370']"
146,"['0.00279291', '0.00024546', '0.00000630']"
147,['0.00180000']
148,"['0.00300000', '0.00280000']"
149,"['0.00500000', '0.00480000', '0.00000975']"
150,"['0.00200000', '0.00454585', '0.00028431', '0.00290000']"
151,"['0.00600000', '0.00800000', '0.00800000', '0.00000353', '0.00781371', '0.00860000', '0.00263338', '0.00013049', '0.00900000', '0.00003903', '0.00880000']"
152,['4.98998896']
153,['4.98796616']
154,['0.01000000']
155,['0.00480000']
156,"['0.01184479', '0.01000000', '0.01000000', '0.01450000', '0.00600000', '0.01680000', '0.00969612', '0.00500000', '0.01500000', '0.00980000', '0.00090000', '0.01109159', '0.00040000']"
157,['0.00500000']
158,['0.00090000']
159,"['0.06000000', '0.04000000', '0.00002022']"
160,['3.99846318']
161,"['0.03500000', '0.00963986', '0.01990000', '0.00159344', '0.03300000', '0.00084400', '0.00005076']"
162,['0.00700000']
163,"['0.00199320', '0.00142790', '0.00021000', '0.00038000', '0.00000847']"
164,['0.00880000']
165,['0.01000000']
166,['0.00379242']
167,['0.00309449']
168,"['0.01000000', '0.00001121']"
169,"['0.00100000', '0.00000556']"
170,"['0.00800000', '0.00499505']"
171,['0.00295828']
172,['0.00158279']
173,['0.02000000']
174,"['0.00500000', '0.00008929']"
175,['0.01549616']
176,['0.02471042']
177,"['0.00010000', '0.00017000', '0.00980000', '0.00040000', '0.00008018']"
178,['0.01450415']
179,['0.00090000']
180,['0.00053586']
181,['0.05000000']
182,"['0.03966782', '0.01000000']"
183,['1.98754288']
184,['3.89845559']
185,['0.00030774']
186,['0.00250000']
187,['1.97718307']
188,['1.96603042']
189,['0.02959206']
190,['0.01000000']
191,['0.00318000']
192,['4.93795576']
193,['0.94709900']
194,['0.00900000']
195,['0.01000000']
196,['0.05000000']
197,['0.01000000']
198,['0.00898229']
199,"['0.01000000', '0.01000000']"
200,['0.01000000']
201,['0.03880138']
202,['0.01000000']
203,['0.05000000']
204,['1.95185013']
205,['3.88731938']
206,"['0.00900000', '0.00795187', '0.00016933', '0.00180000']"
207,['0.03109214']
208,"['0.00010000', '0.00002906', '0.00390000']"
209,['0.01090000']
210,['0.02400000']
211,"['0.00382521', '0.00105068', '0.00090000', '0.00975391', '0.00100000', '0.00003404', '0.00090000', '0.00044827', '0.00014000', '0.00028000']"
212,"['0.00099000', '0.00005460', '0.00400000', '0.00200000', '0.00170000', '0.00050000', '0.07024500', '0.00500000', '0.01000000', '0.00180000', '0.00175635', '0.00094123', '0.00097600', '0.00006080']"
213,"['0.02000000', '0.00888883', '0.00229870']"
214,['0.00039116']
215,"['0.00990000', '0.01000000', '0.00767310', '0.00013614', '0.01000000', '0.00528879', '0.01000000', '0.01000000', '0.00390000', '0.00793524', '0.00019558']"
216,"['0.00005460', '0.01000000']"
217,"['0.00290000', '0.02229613', '0.00004686', '0.01570000', '0.00697421', '0.02900000', '0.02310000']"
218,"['0.00193800', '0.00989103', '0.01842676']"
219,['0.00969500']
220,['0.00949092']
221,"['0.03000000', '0.05000000', '0.01000000', '0.03444710']"
222,"['0.02378889', '0.01000000', '0.00012502', '0.00010000']"
223,"['0.00010000', '0.00015913']"
224,"['0.03000000', '0.00096700']"
