Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19439608,27.3980000000,25,267,442,233,1,200,bnb: **31** ; knapsack: **2** ; Total: **33**,0.00000353,4.98998896,0.3152292033,0.970845938604,0.00446359,0.0000191570386266,0.000170000000,0.004633590000,1,14,1.89699570815,1.94485162207,knapsack: **135** ; srd: **67** ; bnb: **31**
bustabit-tiny-hot-wallet_peak-and-tail,23.92739711,33.4190000000,51,594,883,406,1,340,bnb: **63** ; knapsack: **3** ; Total: **66**,0.00000353,4.98998896,0.279257591294,0.881031093619,0.00792706,0.0000195247783251,0.000346800000,0.008273860000,1,15,2.17487684729,2.30757407962,knapsack: **241** ; srd: **102** ; bnb: **63**
bustabit-tiny-hot-wallet_peak-and-tail,27.28337328,46.0226666667,101,961,1296,539,2,436,bnb: **99** ; knapsack: **4** ; Total: **103**,0.00000353,4.98998896,0.312444414679,0.942598129794,0.01123172,0.0000208380705009,0.000686800000,0.011918520000,1,15,2.40445269017,2.64990331364,knapsack: **287** ; srd: **153** ; bnb: **99**
bustabit-tiny-hot-wallet_peak-and-tail,19.66765987,46.4605000000,20,1316,1838,684,4,542,bnb: **133** ; knapsack: **9** ; Total: **142**,0.00000353,9.92450608,0.331134903210,1.08122023737,0.01416428,0.0000207080116959,0.000136000000,0.014300280000,1,69,2.68713450292,3.91622498476,knapsack: **370** ; srd: **181** ; bnb: **133**
bustabit-tiny-hot-wallet_peak-and-tail,26.29754474,44.5556000000,52,1682,2279,818,4,649,bnb: **159** ; knapsack: **10** ; Total: **169**,0.00000353,9.92450608,0.385057099291,1.33141629491,0.01681629,0.0000205578117359,0.000353600000,0.017169890000,1,69,2.78606356968,3.93856759725,knapsack: **443** ; srd: **216** ; bnb: **159**
bustabit-tiny-hot-wallet_peak-and-tail,18.38149788,43.8573333333,36,2008,2766,992,4,794,bnb: **187** ; knapsack: **11** ; Total: **198**,0.00000317,9.92450608,0.435223371574,1.38583356347,0.02130959,0.0000214814415323,0.000244800000,0.021554390000,1,69,2.78830645161,3.77301806819,knapsack: **526** ; srd: **279** ; bnb: **187**
bustabit-tiny-hot-wallet_peak-and-tail,26.40501024,45.6237142857,50,2415,3229,1085,4,864,bnb: **209** ; knapsack: **12** ; Total: **221**,0.00000317,9.92450608,0.428160116713,1.35049633316,0.02338030,0.0000215486635945,0.000340000000,0.023720300000,1,69,2.97603686636,4.13465430210,knapsack: **570** ; srd: **306** ; bnb: **209**
bustabit-tiny-hot-wallet_peak-and-tail,23.47296564,47.9935000000,64,2818,3683,1182,4,929,bnb: **240** ; knapsack: **13** ; Total: **253**,0.00000317,9.92450608,0.408633984349,1.30680993674,0.02602023,0.0000220137309645,0.000435200000,0.026455430000,1,69,3.11590524535,4.29846682997,knapsack: **618** ; srd: **324** ; bnb: **240**
bustabit-tiny-hot-wallet_peak-and-tail,15.35653716,49.6864444444,26,3213,4194,1287,4,1007,bnb: **265** ; knapsack: **15** ; Total: **280**,0.00000317,9.92450608,0.391339213227,1.26170745651,0.02962678,0.0000230200310800,0.000176800000,0.029803580000,1,69,3.25874125874,4.54807046066,knapsack: **665** ; srd: **357** ; bnb: **265**
bustabit-tiny-hot-wallet_peak-and-tail,15.78073474,49.3420000000,41,3571,4652,1429,4,1122,bnb: **291** ; knapsack: **16** ; Total: **307**,0.00000317,9.92450608,0.365109973004,1.20105025531,0.03230177,0.0000226044576627,0.000278800000,0.032580570000,1,69,3.25542337299,4.45941631671,knapsack: **747** ; srd: **391** ; bnb: **291**
bustabit-tiny-hot-wallet_peak-and-tail,15.88073474,49.3405318936,42,3572,4652,1429,4,1122,bnb: **291** ; knapsack: **16** ; Total: **307**,0.00000317,9.92450608,0.365109973004,1.20105025531,0.03230177,0.0000226044576627,0.000285600000,0.032587370000,1,69,3.25542337299,4.45941631671,knapsack: **747** ; srd: **391** ; bnb: **291**
