id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5433
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.99983370,22,22,4925
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.99647899,22,22,4603
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4888
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.01236372,22,22,2888
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1527
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00286885,22,22,2036
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00021953,22,22,2399
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,4.99897280,22,22,2250
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00004881,23,22,3146
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.01554483,22,22,1406
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,29,29,1125
12,0.00010100,0.00004781,0.00019026,0.000270112994350,knapsack,2,0,1,,30,28,3178
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00863910,28,28,2370
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,28,27,652
15,0.00400000,0.00004813,0.00034131,0.000343785714286,srd,1,0,2,0.00389687,33,33,3720
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1665
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,3.99692843,34,34,5366
18,0.00665800,0.00011860,0.00047972,0.000484081632653,bnb,3,0,1,,34,31,8825
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,3.99574530,31,31,6177
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,31,30,6853
21,0.00110000,0.00011953,0.00058609,0.000675310734463,bnb,2,0,1,,30,28,8811
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00650001,28,28,3577
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00664113,28,28,2649
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00237119,28,28,2022
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00054209,28,28,2080
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.99445627,28,28,1936
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,0.00310978,28,28,1410
28,0.00300000,0.00003209,0.00009927,0.000102523961661,bnb,4,0,1,,28,24,1432
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,srd,1,0,2,1.99704655,24,24,864
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00675849,25,25,1500
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.02165865,25,25,1489
32,0.00330000,0.00000897,0.00006361,0.0000636170212766,srd,1,0,2,0.00169103,25,25,971
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00602589,25,25,1121
34,0.00333400,0.00002048,0.00002942,0.0000396899224806,knapsack,7,1,1,,28,21,-201
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00035849,21,21,744
36,0.00300100,0.00000878,0.00003180,0.0000318115942029,knapsack,3,0,2,0.00003974,21,19,410
