id,input_amounts
0,['0.00329000']
1,['1.00000000']
2,['0.99983370']
3,['0.00483000']
4,['0.01569000']
5,['0.00329000']
6,['0.00329400']
7,['0.00286885']
8,['5.00000000']
9,"['0.00329400', '0.00329400']"
10,['0.01570000']
11,['0.00329400']
12,"['0.00004881', '0.00010000']"
13,['0.00980000']
14,['0.00011747']
15,['0.00794500']
16,['0.00103200']
17,['4.00000000']
18,"['0.00014860', '0.00331400', '0.00331400']"
19,['3.99692843']
20,['0.00100000']
21,"['0.00100000', '0.00021953']"
22,['0.00863910']
23,['0.01000000']
24,['0.00664113']
25,['0.00389687']
26,['0.99647899']
27,['0.00650001']
28,"['0.00090000', '0.00050000', '0.00109000', '0.00054209']"
29,['2.00000000']
30,['0.01010000']
31,['0.02500000']
32,['0.00500000']
33,['0.00940000']
34,"['0.00000200', '0.00000100', '0.00014860', '0.00007910', '0.00018283', '0.00056976', '0.00237119']"
35,['0.00066424']
36,"['0.00100000', '0.00169103', '0.00035849']"
37,"['0.00003974', '0.00329600']"
38,['0.00390000']
39,"['0.00300000', '0.00056962']"
40,"['0.00310978', '0.00023783']"
41,['0.00602589']
42,['0.00270014']
43,['0.00675849']
44,['0.01000000']
45,"['0.00020000', '0.00011261', '0.00071154', '0.00010863']"
46,['0.00300000']
47,['0.00279475']
48,['0.00192127']
49,"['0.00353436', '0.00034660', '0.00011000']"
50,['0.00494133']
51,['0.01000000']
52,"['0.00006682', '0.00159425', '0.00171403']"
53,['0.01554483']
54,"['0.00004037', '0.00331533']"
55,['0.01220869']
56,['0.00888007']
57,['0.00587594']
58,"['0.00254500', '0.00002392', '0.00076900']"
59,['0.01236372']
60,['0.00935929']
61,['0.00602626']
62,"['0.00075630', '0.00269463']"
63,['0.01300000']
64,['0.00966705']
65,['0.00633144']
66,['0.02165865']
67,['0.01832994']
68,['0.01499070']
69,['0.01166158']
70,"['0.00011494', '0.00300142']"
71,['0.00833306']
72,['0.00511527']
73,['3.99574530']
74,['0.03535793']
75,['0.03202716']
76,['0.02872274']
77,"['0.00310499', '0.00100000']"
78,['0.02532440']
79,['0.02197669']
80,['0.01864255']
81,['0.01530811']
82,['0.00597585']
83,['1.99704655']
84,['1.99371144']
85,['0.99445627']
86,['0.99144882']
87,['0.00263812']
88,['0.00910000']
89,['0.00644214']
90,"['0.00076835', '0.00310464']"
91,['0.01714000']
92,"['0.00011071', '0.00091247']"
93,['0.03000000']
94,['0.00213637']
95,['0.01999650']
96,['0.00300000']
97,['1.99037719']
98,['0.01799187']
99,['3.99253575']
100,['4.99897280']
101,['3.99052435']
102,"['0.00001841', '0.00098946', '0.00100000']"
103,"['0.00080000', '0.00116387', '0.00100000', '0.00006080']"
104,"['0.00001287', '0.00100000']"
105,"['0.00100000', '0.00100000', '0.00107722']"
106,"['0.00100000', '0.00053924']"
107,['0.00300000']
108,"['0.00012866', '0.00088990']"
109,"['0.00120000', '0.00006461', '0.00370000']"
110,['0.00120000']
111,['0.00100000']
112,['0.00480000']
113,"['0.00297963', '0.00009442', '0.00001310', '0.00003335']"
114,"['0.00010000', '0.00049501', '0.00480000']"
115,"['0.00002046', '0.00100000']"
116,"['0.00270000', '0.00065998', '0.00040000']"
117,['0.00087643']
118,"['0.00390000', '0.00171142']"
119,"['0.00090000', '0.00008000', '0.00003626', '0.00200000']"
120,"['0.00010000', '0.00163049', '0.00073267', '0.00003813', '0.00200000', '0.00091371', '0.00360000', '0.00025639']"
121,"['0.00300000', '0.00200000', '0.00006000']"
122,['0.00341677']
123,"['0.00800000', '0.01109159']"
124,['0.97096609']
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.00169500', '0.00290000', '0.00005050', '0.00444318', '0.00100000', '0.00003425', '0.00490000']"
127,['0.00228044']
128,['0.00454585']
129,['0.01000000']
130,['3.98594251']
131,['0.01490000']
132,['0.00677219']
133,"['0.00790000', '0.00319635']"
134,"['0.00226500', '0.00042673', '0.00009022']"
135,"['0.00500000', '0.00500000', '0.00002262']"
136,"['0.00001424', '0.00500000', '0.00500000']"
137,['0.00213902']
138,"['0.00027573', '0.00100000', '0.00049540']"
