Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19432148,26.7480000000,24,267,447,233,1,204,knapsack: **2** ; bnb: **27** ; Total: **29**,0.00000417,4.99897280,0.365795869706,1.06259700039,0.00453819,0.0000194772103004,0.000163200000,0.004701390000,1,14,1.91845493562,1.94254836599,knapsack: **134** ; srd: **72** ; bnb: **27**
bustabit-tiny-hot-wallet_peak-and-tail,23.92717259,32.2700000000,47,594,892,406,1,345,knapsack: **3** ; bnb: **58** ; Total: **61**,0.00000345,4.99897280,0.282823694783,0.918650106928,0.00815158,0.0000200777832512,0.000319600000,0.008471180000,1,19,2.19704433498,2.38008011754,knapsack: **242** ; srd: **106** ; bnb: **58**
bustabit-tiny-hot-wallet_peak-and-tail,27.28307308,44.1506666667,96,961,1305,539,2,440,knapsack: **5** ; bnb: **94** ; Total: **99**,0.00000345,4.99897280,0.279377601045,0.876717074638,0.01153192,0.0000213950278293,0.000652800000,0.012184720000,1,19,2.42115027829,2.66374491353,knapsack: **293** ; srd: **152** ; bnb: **94**
bustabit-tiny-hot-wallet_peak-and-tail,19.66746584,46.0720000000,19,1316,1843,684,4,546,knapsack: **8** ; bnb: **130** ; Total: **138**,0.00000345,9.99809227,0.323549670256,1.05975653248,0.01435831,0.0000209916812865,0.000129200000,0.014487510000,1,59,2.69444444444,3.69581673392,knapsack: **364** ; srd: **190** ; bnb: **130**
bustabit-tiny-hot-wallet_peak-and-tail,26.29724127,43.7124000000,51,1682,2284,818,4,653,knapsack: **9** ; bnb: **156** ; Total: **165**,0.00000345,9.99809227,0.371550206233,1.22005543812,0.01711976,0.0000209288019560,0.000346800000,0.017466560000,1,59,2.79217603912,3.72833109938,knapsack: **436** ; srd: **226** ; bnb: **156**
bustabit-tiny-hot-wallet_peak-and-tail,18.38151524,43.1100000000,35,2008,2769,992,4,796,knapsack: **10** ; bnb: **186** ; Total: **196**,0.00000345,9.99809227,0.387111004837,1.24526410605,0.02129223,0.0000214639415323,0.000238000000,0.021530230000,1,59,2.79133064516,3.65016697067,knapsack: **526** ; srd: **280** ; bnb: **186**
bustabit-tiny-hot-wallet_peak-and-tail,26.40502293,43.9277142857,45,2415,3237,1085,4,867,knapsack: **12** ; bnb: **206** ; Total: **218**,0.00000345,9.99809227,0.382296476009,1.22982855771,0.02336761,0.0000215369677419,0.000306000000,0.023673610000,1,59,2.98341013825,4.03098027946,knapsack: **575** ; srd: **304** ; bnb: **206**
bustabit-tiny-hot-wallet_peak-and-tail,23.47289611,46.1682500000,60,2818,3698,1182,4,940,knapsack: **12** ; bnb: **230** ; Total: **242**,0.00000345,9.99809227,0.361794765,1.18579813527,0.02608976,0.0000220725549915,0.000408000000,0.026497760000,1,59,3.12859560068,4.20560223408,knapsack: **632** ; srd: **320** ; bnb: **230**
bustabit-tiny-hot-wallet_peak-and-tail,15.35648946,48.0335555556,21,3213,4207,1287,4,1015,knapsack: **14** ; bnb: **258** ; Total: **272**,0.00000345,9.99809227,0.343444699498,1.14456271217,0.02967448,0.0000230570940171,0.000142800000,0.029817280000,1,59,3.26884226884,4.42203768000,knapsack: **678** ; srd: **351** ; bnb: **258**
bustabit-tiny-hot-wallet_peak-and-tail,15.78067136,47.4064000000,25,3571,4677,1429,4,1131,knapsack: **15** ; bnb: **283** ; Total: **298**,0.00000345,9.99809227,0.323299014677,1.09023985016,0.03236515,0.0000226488103569,0.000170000000,0.032535150000,1,59,3.27291812456,4.36704955327,knapsack: **761** ; srd: **385** ; bnb: **283**
bustabit-tiny-hot-wallet_peak-and-tail,15.88067136,47.4021195761,26,3572,4677,1429,4,1131,knapsack: **15** ; bnb: **283** ; Total: **298**,0.00000345,9.99809227,0.323299014677,1.09023985016,0.03236515,0.0000226488103569,0.000176800000,0.032541950000,1,59,3.27291812456,4.36704955327,knapsack: **761** ; srd: **385** ; bnb: **283**
