id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5433
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00466370,22,22,4925
2,0.00329400,0.00008955,0.00043052,0.000430528846154,knapsack,2,0,2,0.00002392,22,21,7191
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00049794,21,21,4888
4,0.00329000,0.00004792,0.00025725,0.000270734463277,bnb,2,0,1,,21,19,3031
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,19,19,1527
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00007279,19,19,2036
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,19,19,2399
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226680,19,19,2250
9,0.00650000,0.00003919,0.00018838,0.000188413461538,srd,2,0,2,3.99353360,20,19,3146
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00484483,19,19,1406
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,srd,1,0,2,0.00173366,26,26,1125
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,27,27,2224
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00678410,27,27,2370
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00002797,27,27,1649
15,0.00400000,0.00007100,0.00034131,0.000341346153846,srd,2,0,2,0.00274107,33,32,5701
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1665
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.99692843,33,33,5366
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,3.98680795,33,33,5091
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,3.98562482,33,33,6177
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6853
21,0.00110000,0.00011444,0.00058609,0.000646553672316,bnb,2,0,1,,32,30,8302
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,3.98348573,30,30,3577
23,0.00332600,0.00005110,0.00023312,0.000288700564972,bnb,2,0,1,,30,28,3450
24,0.00424600,0.00003531,0.00016975,0.000169759615385,srd,2,0,2,0.00841469,28,27,2837
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00054522,27,27,2080
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00807728,27,27,1936
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,3.98009550,27,27,1410
28,0.00300000,0.00003229,0.00009927,0.000103162939297,bnb,4,0,1,,27,23,1452
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,srd,1,0,2,1.99704655,23,23,864
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.02165849,24,24,1500
31,0.00332500,0.00002411,0.00011591,0.000115913461538,srd,2,0,2,4.99996489,24,23,1938
32,0.00330000,0.00000897,0.00006361,0.0000636170212766,srd,1,0,2,1.99373758,23,23,971
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.99355432,23,23,1121
