Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19429823,27.0580000000,26,267,445,233,1,204,bnb: **27** ; knapsack: **2** ; Total: **29**,0.00000381,4.99996489,0.394148231520,1.10970724137,0.00456144,0.0000195769957082,0.000176800000,0.004738240000,1,16,1.90987124464,1.84192938591,knapsack: **136** ; srd: **70** ; bnb: **27**
bustabit-tiny-hot-wallet_peak-and-tail,23.92731296,33.4030000000,49,594,890,406,1,345,bnb: **59** ; knapsack: **2** ; Total: **61**,0.00000368,8.78992843,0.358452897014,1.09150413015,0.00801121,0.0000197320443350,0.000333200000,0.008344410000,1,18,2.19211822660,2.35336102089,knapsack: **232** ; srd: **115** ; bnb: **59**
bustabit-tiny-hot-wallet_peak-and-tail,27.28329510,44.8033333333,97,961,1302,539,2,438,bnb: **97** ; knapsack: **4** ; Total: **101**,0.00000368,8.78992843,0.308039558562,0.987071464106,0.01130990,0.0000209831168831,0.000659600000,0.011969500000,1,18,2.41558441558,2.61853171595,knapsack: **282** ; srd: **160** ; bnb: **97**
bustabit-tiny-hot-wallet_peak-and-tail,19.66774696,48.1985000000,24,1316,1839,684,4,547,bnb: **132** ; knapsack: **5** ; Total: **137**,0.00000349,9.86121291,0.337444855850,1.18913040361,0.01407719,0.0000205806871345,0.000163200000,0.014240390000,1,44,2.68859649123,3.33284621804,knapsack: **354** ; srd: **198** ; bnb: **132**
bustabit-tiny-hot-wallet_peak-and-tail,26.29746179,45.9288000000,49,1682,2281,818,4,648,bnb: **163** ; knapsack: **7** ; Total: **170**,0.00000349,9.86121291,0.321073555262,1.14239243864,0.01689924,0.0000206592176039,0.000333200000,0.017232440000,1,44,2.78850855746,3.41542544100,knapsack: **424** ; srd: **231** ; bnb: **163**
bustabit-tiny-hot-wallet_peak-and-tail,18.38161170,45.1646666667,32,2008,2765,992,4,789,bnb: **193** ; knapsack: **10** ; Total: **203**,0.00000349,9.86121291,0.323316994525,1.14165236392,0.02119577,0.0000213667036290,0.000217600000,0.021413370000,1,44,2.78729838710,3.39229850723,knapsack: **506** ; srd: **293** ; bnb: **193**
bustabit-tiny-hot-wallet_peak-and-tail,26.40516270,46.5585714286,57,2415,3217,1085,4,859,bnb: **215** ; knapsack: **11** ; Total: **226**,0.00000349,9.86121291,0.321772771374,1.12758966878,0.02322784,0.0000214081474654,0.000387600000,0.023615440000,1,44,2.96497695853,3.78049337899,knapsack: **554** ; srd: **316** ; bnb: **215**
bustabit-tiny-hot-wallet_peak-and-tail,23.47308646,48.7092500000,58,2818,3687,1182,4,927,bnb: **244** ; knapsack: **11** ; Total: **255**,0.00000349,9.86121291,0.306915943301,1.08914421033,0.02589941,0.0000219115143824,0.000394400000,0.026293810000,1,44,3.11928934010,4.00425051504,knapsack: **604** ; srd: **334** ; bnb: **244**
bustabit-tiny-hot-wallet_peak-and-tail,15.35670248,50.0997777778,25,3213,4195,1287,4,1007,bnb: **268** ; knapsack: **12** ; Total: **280**,0.00000349,9.86121291,0.295734416197,1.04908948940,0.02946146,0.0000228915773116,0.000170000000,0.029631460000,1,44,3.25951825952,4.24697503741,knapsack: **654** ; srd: **365** ; bnb: **268**
bustabit-tiny-hot-wallet_peak-and-tail,15.78080885,49.3022000000,27,3571,4668,1429,4,1124,bnb: **292** ; knapsack: **13** ; Total: **305**,0.00000349,9.86121291,0.281866143550,1.00180019774,0.03222766,0.0000225525962211,0.000183600000,0.032411260000,1,44,3.26662001400,4.20578980804,knapsack: **735** ; srd: **402** ; bnb: **292**
bustabit-tiny-hot-wallet_peak-and-tail,15.88080885,49.2979404119,28,3572,4668,1429,4,1124,bnb: **292** ; knapsack: **13** ; Total: **305**,0.00000349,9.86121291,0.281866143550,1.00180019774,0.03222766,0.0000225525962211,0.000190400000,0.032418060000,1,44,3.26662001400,4.20578980804,knapsack: **735** ; srd: **402** ; bnb: **292**
