id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,['0.01569000']
3,['0.00483000']
4,"['0.00014860', '3.00000000']"
5,"['0.00312770', '0.00011747']"
6,['0.00066424']
7,['0.00329000']
8,['0.00329400']
9,"['0.00331400', '0.01233529']"
10,['0.00226680']
11,['0.01000000']
12,['0.00014860']
13,['0.01010000']
14,"['0.00010000', '0.00002624']"
15,['0.00893910']
16,['0.00103200']
17,['0.00980000']
18,['0.00672843']
19,['0.01570000']
20,['0.00100000']
21,['5.00000000']
22,['0.00489097']
23,['4.99881736']
24,"['2.99680509', '0.00331400']"
25,['0.00940000']
26,"['0.00050000', '0.00064068', '0.00090000']"
27,['0.02500000']
28,['4.00000000']
29,['0.00500000']
30,"['0.00794500', '0.00211163']"
31,['0.00911010']
32,"['0.00329400', '0.00002077']"
33,['0.00688883']
34,"['0.00000100', '0.00109000', '0.00204655', '0.00023909']"
35,['0.00056976']
36,"['0.00000200', '0.00026401', '0.00275188']"
37,"['0.00010863', '0.00329400']"
38,"['0.00329600', '0.00006761']"
39,['0.00351472']
40,"['0.00003251', '0.00300000', '0.00003163', '0.00018447']"
41,['0.00390000']
42,"['0.00100000', '0.00100000']"
43,['0.00576875']
44,['0.00604522']
45,"['0.00020000', '0.00098655']"
46,['0.00057425']
47,['0.00254462']
48,"['0.00011000', '0.00012690']"
49,"['0.00300000', '0.00034660']"
50,['0.00670727']
51,['0.01000000']
52,"['0.00331533', '0.00002813']"
53,['0.00336019']
54,['0.01000000']
55,['0.00667041']
56,"['0.00167114', '0.02160977']"
57,['0.00334179']
58,['0.01300000']
59,['0.00967010']
60,['0.00666567']
61,['0.00333264']
62,['0.01451687']
63,"['0.00076900', '0.01118345']"
64,['0.00861763']
65,['0.00528202']
66,"['0.00011407', '0.03535793']"
67,['0.02027481']
68,['0.01693557']
69,"['0.01360645', '0.00195200']"
70,['0.01222826']
71,['0.00922443']
72,['0.00600664']
73,['0.00399636']
74,"['1.00000000', '0.00001085']"
75,['0.03214153']
76,['0.02883711']
77,"['3.99698600', '0.00002405', '0.00036900']"
78,['0.02543877']
79,['0.02209106']
80,['0.01875692']
81,"['0.00100000', '3.99403926']"
82,['0.01542248']
83,['0.01208475']
84,['0.00874964']
85,['0.00541539']
86,['0.99667734']
87,"['0.00001113', '0.01714000']"
88,"['0.00240794', '0.00078681']"
89,['0.00910000']
90,['0.00576250']
91,"['0.01542375', '0.00243157']"
92,['0.00284997']
93,['0.03000000']
94,['2.00000000']
95,"['0.00053316', '0.00184674']"
96,['0.00300000']
97,['0.00116387']
98,['0.01780000']
99,"['2.99583778', '0.00037307']"
100,['0.00278776']
101,['0.00480000']
102,"['0.00098946', '0.00021816', '0.00080000']"
103,"['0.00100000', '0.00006080', '0.00100000', '0.00100000']"
104,['4.99545849']
105,"['0.00078041', '0.00100000', '0.00107722', '0.00004900', '0.00014595']"
106,['0.00480000']
107,['0.01450000']
108,"['0.00100000', '0.00003375']"
109,"['0.00200000', '0.00002829', '0.00171142', '0.00120000']"
110,['0.00120000']
111,['0.00100000']
112,['0.00500000']
113,"['0.01490000', '0.00000567']"
114,"['0.00341677', '0.00100000', '0.00085998', '0.00010000']"
115,['0.01999650']
116,"['0.00049501', '0.00228044', '0.00087643', '0.00009442']"
117,['0.00040000']
118,"['0.00100000', '0.00444318', '0.00025624']"
119,"['0.00200000', '0.00002129', '0.00091371', '0.00008000']"
120,"['0.00025639', '0.00012193', '0.00270000', '0.00163049', '0.00006000', '0.00360000', '0.00090000']"
121,"['0.00010000', '0.00300000', '0.00200000']"
122,['0.00790000']
123,"['0.00169500', '0.01238990']"
124,['0.01000000']
125,"['0.00300000', '0.00592000', '0.00110000']"
126,"['0.00090000', '0.00290000', '0.00451748', '0.00370000', '0.00300000']"
127,"['0.00009050', '0.00198517']"
128,['0.00326318']
129,['0.00390000']
130,"['1.99799229', '0.00490000']"
131,"['0.97619461', '0.00006873']"
132,"['0.00454585', '0.00191368']"
133,"['0.00067219', '0.00556672', '0.00480000']"
134,"['0.00100000', '0.00226500']"
135,"['0.00003078', '0.00500000', '0.00500000']"
136,"['0.00900000', '0.00050748', '0.00049540', '0.00002240']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00129455', '0.00100000']"
140,"['0.00000982', '0.00800000', '0.00500000']"
